epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
1,0.0001,1.14485599265312,0.4462121836616932,268,0.6002088490285085,0.4216417910447761,0.4018341307814992,0.3904943581030686,0.6,0.6831,0.5175,0.5152,0.2237,0.4667,132,76,60,"[68, 12, 52]","[28, 17, 31]","[29, 3, 28]",1.2175830602645874,0.42213883677298314,16.81412959098816
2,9.997532801828658e-05,0.9676206458402028,0.571263704558569,268,0.6407970493666121,0.44029850746268656,0.45778841041998936,0.42834403775894686,0.6285,0.6327,0.6611,0.4242,0.3158,0.6333,132,76,60,"[56, 22, 54]","[25, 24, 27]","[10, 12, 38]",1.2658318281173706,0.41932457786116323,13.131100177764893
3,9.990133642141359e-05,0.8303242982853846,0.6826312752452395,268,0.6623335116465922,0.47761194029850745,0.44779372674109513,0.4444470960275156,0.6834,0.6538,0.6498,0.553,0.4737,0.3167,132,76,60,"[73, 34, 25]","[19, 36, 21]","[18, 23, 19]",1.2025967836380005,0.4638836772983114,13.338472604751587
4,9.977809823015401e-05,0.7128502937979144,0.7620146731514302,268,0.6446582436955889,0.4962686567164179,0.416400850611377,0.4117073064807916,0.6471,0.6616,0.6253,0.7273,0.3553,0.1667,132,76,60,"[96, 20, 16]","[42, 27, 7]","[34, 16, 10]",1.2470650672912598,0.4948405253283302,13.200751781463623
5,9.960573506572391e-05,0.6226039965403718,0.8273843871074108,268,0.6453627126227746,0.47388059701492535,0.43686868686868685,0.43312983312983305,0.6486,0.6656,0.622,0.5606,0.5,0.25,132,76,60,"[74, 39, 19]","[27, 38, 11]","[27, 18, 15]",1.3247629404067993,0.45919324577861165,13.160362005233765
6,9.93844170297569e-05,0.5636973778439535,0.8657159343829858,268,0.6202447341959726,0.43283582089552236,0.43099415204678354,0.41863230176140537,0.636,0.6447,0.58,0.4167,0.5263,0.35,132,76,60,"[55, 42, 35]","[25, 40, 11]","[18, 21, 21]",1.4859013557434082,0.4376172607879925,13.135433197021484
7,9.911436253643445e-05,0.5202283921358503,0.8927541010633913,268,0.6350908916504892,0.48880597014925375,0.4432482721956406,0.44223413299469216,0.6163,0.6686,0.6204,0.6061,0.4737,0.25,132,76,60,"[80, 29, 23]","[35, 36, 5]","[25, 20, 15]",1.3261380195617676,0.47607879924953095,13.739100694656372
8,9.879583809693738e-05,0.4889972294637705,0.9210287692688154,268,0.6157002775883388,0.4291044776119403,0.41310473152578414,0.4084441712732492,0.6165,0.6802,0.5504,0.4621,0.4605,0.3167,132,76,60,"[61, 29, 42]","[25, 35, 16]","[21, 20, 19]",1.4002636671066284,0.43902439024390244,13.209120273590088
9,9.842915805643157e-05,0.46536914239603083,0.933805951694007,268,0.6040161753880794,0.48134328358208955,0.4239500265816056,0.4037187798381828,0.6116,0.6434,0.5571,0.6061,0.5658,0.1,132,76,60,"[80, 33, 19]","[30, 43, 3]","[26, 28, 6]",1.4095312356948853,0.4526266416510319,13.174319744110107
10,9.801468428384717e-05,0.44860798586781797,0.9465007006841976,268,0.6166895403036076,0.4925373134328358,0.43668261562998406,0.4351918605473027,0.6095,0.6728,0.5678,0.6364,0.4737,0.2,132,76,60,"[84, 28, 20]","[29, 36, 11]","[37, 11, 12]",1.300451636314392,0.45590994371482174,13.12730860710144
11,9.75528258147577e-05,0.43215221140569615,0.9589481493693842,268,0.6332619723220536,0.4925373134328358,0.42525252525252527,0.41042603087746726,0.6529,0.6756,0.5712,0.6591,0.5,0.1167,132,76,60,"[87, 32, 13]","[32, 38, 6]","[29, 24, 7]",1.314687728881836,0.4803001876172608,13.18084168434143
12,9.70440384477113e-05,0.42025293701312755,0.9642238892094633,268,0.6055515769597619,0.44776119402985076,0.4182881446039341,0.4192278579875479,0.5945,0.6676,0.5546,0.5303,0.4079,0.3167,132,76,60,"[70, 23, 39]","[28, 31, 17]","[28, 13, 19]",1.3694051504135132,0.4371482176360225,13.219557046890259
13,9.64888242944126e-05,0.4126897498531654,0.9698293627895475,268,0.6071302243830301,0.503731343283582,0.421451355661882,0.418332706921206,0.6016,0.6586,0.5611,0.7424,0.3553,0.1667,132,76,60,"[98, 18, 16]","[40, 27, 9]","[40, 10, 10]",1.291382908821106,0.4652908067542214,13.05507779121399
