epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
1,0.0001,1.1497623115623197,0.4358255708515374,268,0.6037780929832981,0.40671641791044777,0.4392610313662946,0.40622488290235853,0.6044,0.6578,0.5491,0.3485,0.3026,0.6667,132,76,60,"[46, 11, 75]","[17, 23, 36]","[16, 4, 40]",1.2524330615997314,0.38461538461538464,22.75171661376953
2,9.997532801828658e-05,0.9843507690781881,0.5592284230483884,268,0.604265009586217,0.373134328358209,0.40648591174906973,0.3728731361100243,0.6247,0.5776,0.6105,0.2879,0.3816,0.55,132,76,60,"[38, 34, 60]","[21, 29, 26]","[10, 17, 33]",1.3994004726409912,0.3818011257035647,18.947158098220825
3,9.990133642141359e-05,0.8446471076168494,0.6677932569450169,268,0.6222524760885828,0.4664179104477612,0.46403508771929824,0.44871720137489096,0.6408,0.6314,0.5946,0.5,0.3421,0.55,132,76,60,"[66, 20, 46]","[23, 26, 27]","[17, 10, 33]",1.3052247762680054,0.44090056285178236,15.307461500167847
4,9.977809823015401e-05,0.7183958743353804,0.7610254719314153,268,0.622739971533025,0.4962686567164179,0.398006379585327,0.3850887012352571,0.6286,0.6595,0.5801,0.7879,0.2895,0.1167,132,76,60,"[104, 12, 16]","[48, 22, 6]","[38, 15, 7]",1.3298468589782715,0.4821763602251407,17.70752215385437
5,9.960573506572391e-05,0.6286074287981205,0.8235100156623526,268,0.6307267253837494,0.4552238805970149,0.4088782562466773,0.40758292841967986,0.6492,0.6412,0.6018,0.5758,0.4342,0.2167,132,76,60,"[76, 27, 29]","[30, 33, 13]","[27, 20, 13]",1.3296436071395874,0.4530956848030019,18.7393159866333
6,9.93844170297569e-05,0.5598931633701879,0.8722281757480834,268,0.5693054736156516,0.4216417910447761,0.3950292397660819,0.3955026282683251,0.5563,0.6323,0.5194,0.5,0.3684,0.3167,132,76,60,"[66, 21, 45]","[30, 28, 18]","[25, 16, 19]",1.5402653217315674,0.3968105065666041,19.855408906936646
7,9.911436253643445e-05,0.5173996533931663,0.90066771082351,268,0.5979993771063817,0.44776119402985076,0.392876129718235,0.38942624041095325,0.6155,0.5947,0.5838,0.5909,0.4211,0.1667,132,76,60,"[78, 30, 24]","[32, 32, 12]","[32, 18, 10]",1.412691593170166,0.43386491557223267,19.948742866516113
8,9.879583809693738e-05,0.48469998415732424,0.9245734069738686,268,0.6271008057022956,0.5149253731343284,0.46023391812865494,0.4611655026607758,0.6594,0.6299,0.5921,0.6667,0.4474,0.2667,132,76,60,"[88, 25, 19]","[29, 34, 13]","[30, 14, 16]",1.36309015750885,0.4821763602251407,19.831909894943237
9,9.842915805643157e-05,0.45805679760273266,0.9394114252740912,268,0.5810058059308253,0.4664179104477612,0.41879319510898455,0.41951435429696304,0.5829,0.6194,0.5406,0.5985,0.4079,0.25,132,76,60,"[79, 27, 26]","[31, 31, 14]","[31, 14, 15]",1.4457380771636963,0.4469981238273921,19.862637519836426
10,9.801468428384717e-05,0.43982765776986643,0.952930508614294,268,0.5830566865517524,0.48880597014925375,0.40762892078681556,0.40552802317508196,0.6136,0.629,0.5065,0.7273,0.3289,0.1667,132,76,60,"[96, 15, 21]","[38, 25, 13]","[40, 10, 10]",1.3604443073272705,0.4535647279549719,19.940189123153687
11,9.75528258147577e-05,0.4256269288135768,0.9640590223394608,268,0.5901054352316929,0.4552238805970149,0.39606592238171184,0.39401813356921717,0.6214,0.6288,0.5201,0.6136,0.4079,0.1667,132,76,60,"[81, 26, 25]","[28, 31, 17]","[31, 19, 10]",1.4188401699066162,0.44793621013133206,20.19096612930298
12,9.70440384477113e-05,0.41520908145969004,0.9692523287445388,268,0.5758628553786256,0.3917910447761194,0.3869484316852738,0.3806353767560664,0.5856,0.6218,0.5202,0.4091,0.3684,0.3833,132,76,60,"[54, 25, 53]","[24, 28, 24]","[22, 15, 23]",1.4861396551132202,0.399155722326454,19.865736961364746
13,9.64888242944126e-05,0.40766453037414474,0.9730442667545957,268,0.6107144186115742,0.4664179104477612,0.40762892078681556,0.407602232782035,0.6293,0.6233,0.5796,0.6439,0.3289,0.25,132,76,60,"[85, 28, 19]","[33, 25, 18]","[32, 13, 15]",1.3618096113204956,0.4530956848030019,19.926864624023438
14,9.588773128419907e-05,0.39505104754863574,0.9797213749896958,268,0.6177255144021785,0.4925373134328358,0.44019138755980863,0.44010928365233,0.6388,0.6372,0.5772,0.6364,0.4342,0.25,132,76,60,"[84, 26, 22]","[28, 33, 15]","[29, 16, 15]",1.3305728435516357,0.4695121951219512,19.91452431678772
15,9.5241352623301e-05,0.3885872680271618,0.9828538455197428,268,0.5789384245677783,0.4626865671641791,0.4144072301967039,0.4157492604262121,0.6073,0.5896,0.5399,0.5985,0.3947,0.25,132,76,60,"[79, 26, 27]","[25, 30, 21]","[32, 13, 15]",1.3967115879058838,0.425891181988743,19.911360025405884
16,9.455032620941843e-05,0.38122984244909736,0.9882120187948232,268,0.5935516828802433,0.4552238805970149,0.40723019670388094,0.3990218029258961,0.648,0.614,0.5187,0.5682,0.4868,0.1667,132,76,60,"[75, 38, 19]","[28, 37, 11]","[22, 28, 10]",1.3769525289535522,0.4451219512195122,19.862761974334717
17,9.381533400219321e-05,0.38036972522617674,0.9862336163547935,268,0.5911557920386287,0.4552238805970149,0.417278043593833,0.4181235796997567,0.6044,0.6112,0.5579,0.5606,0.4079,0.2833,132,76,60,"[74, 24, 34]","[29, 31, 16]","[27, 16, 17]",1.4208024740219116,0.43808630393996245,19.97980046272278
18,9.303710135019722e-05,0.3769901153939288,0.9891187865798368,268,0.6060592472865112,0.48880597014925375,0.4269803296119085,0.4274534984047997,0.639,0.6005,0.5786,0.6818,0.3158,0.2833,132,76,60,"[90, 17, 25]","[32, 24, 20]","[31, 12, 17]",1.3218685388565063,0.4652908067542214,19.95510220527649
19,9.22163962751008e-05,0.371130458639024,0.9906850218448603,268,0.6146411968127331,0.4701492537313433,0.4355130249867092,0.43211155085772196,0.6342,0.6603,0.5494,0.553,0.4868,0.2667,132,76,60,"[73, 35, 24]","[21, 37, 18]","[26, 18, 16]",1.3024884462356567,0.44840525328330205,20.10107970237732
20,9.135402871372814e-05,0.36785900243951447,0.9918390899348776,268,0.6100779917536884,0.4626865671641791,0.40228601807549175,0.4027457184484455,0.6346,0.6491,0.5465,0.6288,0.3947,0.1833,132,76,60,"[83, 24, 25]","[31, 30, 15]","[38, 11, 11]",1.3034697771072388,0.46106941838649157,19.776055335998535
21,9.045084971874742e-05,0.36663260384036767,0.9911796224548677,268,0.606058580115275,0.4925373134328358,0.40478468899521536,0.3959423053850697,0.6454,0.6262,0.5466,0.7424,0.3553,0.1167,132,76,60,"[98, 19, 15]","[38, 27, 11]","[41, 12, 7]",1.2375799417495728,0.4812382739212008,19.793246746063232
22,8.950775061878456e-05,0.3631047506774998,0.9934877586349024,268,0.6119750339637143,0.48507462686567165,0.42440191387559806,0.41532313334915383,0.6505,0.6171,0.5683,0.6364,0.4868,0.15,132,76,60,"[84, 33, 15]","[26, 37, 13]","[29, 22, 9]",1.2809202671051025,0.4718574108818011,19.812335729599
