epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
1,0.0001,1.1485725813514962,0.4263457258263952,268,0.6722209405017069,0.4253731343283582,0.45209994683678895,0.4238645820051654,0.6783,0.7208,0.6175,0.3712,0.3684,0.6167,132,76,60,"[49, 19, 64]","[12, 28, 36]","[12, 11, 37]",1.1112394332885742,0.4333958724202627,24.386483430862427
2,9.997532801828658e-05,1.0017174168967933,0.5401038661281016,268,0.6332924855394864,0.4552238805970149,0.46135034556087184,0.4434080876617119,0.621,0.6625,0.6163,0.4621,0.3553,0.5667,132,76,60,"[61, 20, 51]","[30, 27, 19]","[15, 11, 34]",1.1576104164123535,0.44043151969981237,20.391209840774536
3,9.990133642141359e-05,0.8679993566328003,0.6408375236996126,268,0.6600705100390666,0.48507462686567165,0.4705475810738968,0.46344056073898715,0.6791,0.6766,0.6245,0.5152,0.5132,0.3833,132,76,60,"[68, 32, 32]","[23, 39, 14]","[17, 20, 23]",1.2515876293182373,0.47889305816135086,20.4952073097229
4,9.977809823015401e-05,0.7466895408715275,0.734069738686011,268,0.6603665536497386,0.4701492537313433,0.4839978734715577,0.46433590875643854,0.6504,0.6728,0.6579,0.4318,0.4868,0.5333,132,76,60,"[57, 35, 40]","[20, 37, 19]","[16, 12, 32]",1.2725101709365845,0.45637898686679174,20.40951895713806
5,9.960573506572391e-05,0.6607264414258923,0.7978732173769681,268,0.5928794843679711,0.44029850746268656,0.37761828814460396,0.3773168921545436,0.5729,0.6518,0.5539,0.6364,0.2632,0.2333,132,76,60,"[84, 20, 28]","[37, 20, 19]","[39, 7, 14]",1.4141424894332886,0.44136960600375236,20.345118761062622
6,9.93844170297569e-05,0.5923997902455486,0.8440359409776605,268,0.5791030504797919,0.4216417910447761,0.4078415736310473,0.40237065624026175,0.5719,0.6098,0.5556,0.4621,0.3947,0.3667,132,76,60,"[61, 38, 33]","[25, 30, 21]","[23, 15, 22]",1.5249733924865723,0.4174484052532833,20.54625654220581
7,9.911436253643445e-05,0.5390606082170678,0.8851702250432776,268,0.6598074152906777,0.503731343283582,0.4731259968102073,0.46488272520631857,0.6716,0.687,0.6208,0.5606,0.5921,0.2667,132,76,60,"[74, 43, 15]","[21, 45, 10]","[19, 25, 16]",1.341706395149231,0.4821763602251407,20.127200603485107
8,9.879583809693738e-05,0.5092254203461174,0.9029758470035446,268,0.6143144013064679,0.4701492537313433,0.4257309941520468,0.4244264507422402,0.6315,0.6249,0.5866,0.5833,0.4605,0.2333,132,76,60,"[77, 26, 29]","[30, 35, 11]","[27, 19, 14]",1.413687825202942,0.450281425891182,20.64962911605835
9,9.842915805643157e-05,0.470535521082351,0.9283653449839255,268,0.6223101102866002,0.48507462686567165,0.43466241360978203,0.4334528216881158,0.6092,0.6299,0.6279,0.6136,0.4737,0.2167,132,76,60,"[81, 25, 26]","[29, 36, 11]","[31, 16, 13]",1.3981914520263672,0.4549718574108818,20.69572925567627
10,9.801468428384717e-05,0.4578432273849023,0.9399884593190998,268,0.6322474999308397,0.5149253731343284,0.47097288676236043,0.4735655479626075,0.635,0.6596,0.6022,0.6515,0.3947,0.3667,132,76,60,"[86, 28, 18]","[32, 30, 14]","[27, 11, 22]",1.375192642211914,0.4624765478424015,20.43062686920166
11,9.75528258147577e-05,0.4476551712812217,0.9461709669441926,268,0.6013485879875199,0.48134328358208955,0.43075491759702284,0.4307216686666692,0.6246,0.6231,0.5564,0.6212,0.4211,0.25,132,76,60,"[82, 27, 23]","[28, 32, 16]","[29, 16, 15]",1.351818561553955,0.449812382739212,20.49613928794861
12,9.70440384477113e-05,0.4295429999845437,0.9582062484543731,268,0.605939115118198,0.39552238805970147,0.41488569909622547,0.39041891684080077,0.6081,0.5892,0.6206,0.3561,0.3553,0.5333,132,76,60,"[47, 33, 52]","[20, 27, 29]","[14, 14, 32]",1.6372134685516357,0.398686679174484,20.27537751197815
13,9.64888242944126e-05,0.41677600098662515,0.9658725579094881,268,0.6215640512201078,0.5149253731343284,0.4609782030834662,0.461111775221183,0.628,0.6271,0.6096,0.697,0.3026,0.3833,132,76,60,"[92, 15, 25]","[39, 23, 14]","[28, 9, 23]",1.3652735948562622,0.4849906191369606,20.557631731033325
14,9.588773128419907e-05,0.40793062775636796,0.972467232709587,268,0.6453502562538941,0.47761194029850745,0.46990962254120144,0.45832674845775273,0.6521,0.6778,0.6062,0.4773,0.5658,0.3667,132,76,60,"[63, 36, 33]","[16, 43, 17]","[18, 20, 22]",1.4481703042984009,0.45919324577861165,19.99617338180542
15,9.5241352623301e-05,0.40162285995074604,0.9762591707196439,268,0.6477718961465092,0.5186567164179104,0.4618553960659224,0.4637642199561704,0.6603,0.6631,0.62,0.697,0.3553,0.3333,132,76,60,"[92, 23, 17]","[32, 27, 17]","[30, 10, 20]",1.2991595268249512,0.48686679174484054,20.39180088043213
16,9.455032620941843e-05,0.39564796543978237,0.9795565081196933,268,0.6536432680129468,0.503731343283582,0.4463849016480596,0.44931989288293656,0.6688,0.6463,0.6458,0.6742,0.3816,0.2833,132,76,60,"[89, 25, 18]","[35, 29, 12]","[33, 10, 17]",1.268695592880249,0.4821763602251407,20.467533349990845
17,9.381533400219321e-05,0.388538685431436,0.9828538455197428,268,0.629501374259985,0.4962686567164179,0.41289207868155237,0.40120136799609146,0.639,0.6444,0.6051,0.7273,0.3947,0.1167,132,76,60,"[96, 28, 8]","[34, 30, 12]","[38, 15, 7]",1.2838326692581177,0.4798311444652908,20.34274172782898
18,9.303710135019722e-05,0.382594421703693,0.9852444151347787,268,0.6223186895448892,0.47761194029850745,0.43407761828814456,0.4341445784346319,0.6453,0.6142,0.6075,0.6136,0.3553,0.3333,132,76,60,"[81, 28, 23]","[29, 27, 20]","[27, 13, 20]",1.3462423086166382,0.4549718574108818,20.495320081710815
19,9.22163962751008e-05,0.37656434348209133,0.9873876844448108,268,0.6107867813193858,0.44776119402985076,0.41313131313131307,0.4075997476496022,0.6337,0.6518,0.5469,0.5227,0.5,0.2167,132,76,60,"[69, 37, 26]","[21, 38, 17]","[27, 20, 13]",1.3751105070114136,0.44793621013133206,20.337076425552368
20,9.135402871372814e-05,0.3740822840244003,0.9887066194048306,268,0.6243268073086184,0.4626865671641791,0.4025518341307815,0.4029028085625239,0.6336,0.6346,0.6048,0.6515,0.2895,0.2667,132,76,60,"[86, 21, 25]","[37, 22, 17]","[36, 8, 16]",1.2725040912628174,0.4652908067542214,20.28012204170227
21,9.045084971874742e-05,0.3699369046116355,0.9893660868848405,268,0.6123976164659215,0.4701492537313433,0.4064327485380117,0.4061797649819428,0.6254,0.6186,0.5932,0.6667,0.3026,0.25,132,76,60,"[88, 21, 23]","[37, 23, 16]","[33, 12, 15]",1.274898648262024,0.45778611632270166,20.44080901145935
22,8.950775061878456e-05,0.36723173552005195,0.990272854669854,268,0.6232948493929531,0.48507462686567165,0.43795853269537477,0.4385158352653605,0.6518,0.6013,0.6167,0.6288,0.3684,0.3167,132,76,60,"[83, 30, 19]","[30, 28, 18]","[24, 17, 19]",1.300934076309204,0.4573170731707317,20.280038833618164
23,8.852566213878951e-05,0.3651225988042,0.9915093561948727,268,0.629895781463119,0.5074626865671642,0.4500797448165869,0.45100427124148396,0.6449,0.6305,0.6143,0.6818,0.3684,0.3,132,76,60,"[90, 23, 19]","[31, 28, 17]","[27, 15, 18]",1.2521768808364868,0.4699812382739212,20.508288860321045
24,8.750555348152303e-05,0.3617531723992251,0.9932404583298986,268,0.6393353147755237,0.5111940298507462,0.44999999999999996,0.44327450193876183,0.6632,0.663,0.5918,0.6667,0.5,0.1833,132,76,60,"[88, 35, 9]","[30, 38, 8]","[27, 22, 11]",1.260955810546875,0.4896810506566604,20.290010452270508
25,8.644843137107063e-05,0.360879611442276,0.9932404583298986,268,0.6095945087334407,0.4664179104477612,0.426501860712387,0.42691883372734435,0.6208,0.6335,0.5745,0.5909,0.3553,0.3333,132,76,60,"[78, 26, 28]","[32, 27, 17]","[28, 12, 20]",1.313401222229004,0.45825515947467166,20.409351348876953
26,8.535533905932742e-05,0.35619535564875116,0.9953837276399308,268,0.629970700094539,0.5186567164179104,0.4534556087187666,0.45542056840035955,0.6456,0.6508,0.5936,0.7121,0.3816,0.2667,132,76,60,"[94, 27, 11]","[33, 29, 14]","[33, 11, 16]",1.2432091236114502,0.48827392120075047,20.537445068359375
27,8.422735529643448e-05,0.35620682709844614,0.9944769598549171,268,0.6329639459912292,0.4962686567164179,0.44691653375863893,0.4491404612159329,0.6519,0.6679,0.5791,0.6364,0.4211,0.2833,132,76,60,"[84, 32, 16]","[31, 32, 13]","[33, 10, 17]",1.2532329559326172,0.4896810506566604,20.262640476226807
28,8.306559326618263e-05,0.35580250881007336,0.9960431951199407,268,0.6283868261833625,0.4626865671641791,0.4015948963317384,0.40105820105820106,0.6465,0.6551,0.5836,0.6364,0.3684,0.2,132,76,60,"[84, 27, 21]","[29, 28, 19]","[35, 13, 12]",1.2502630949020386,0.4648217636022514,20.596246242523193
29,8.187119948743452e-05,0.34985309299264283,0.9962080619899432,268,0.6120006871675795,0.4925373134328358,0.4041467304625199,0.3895580411850579,0.6189,0.6123,0.6048,0.7879,0.1579,0.2667,132,76,60,"[104, 14, 14]","[46, 12, 18]","[40, 4, 16]",1.3209184408187866,0.4704502814258912,20.287956476211548
30,8.064535268264887e-05,0.34999497671255464,0.9969499629049543,268,0.6260275865345526,0.47761194029850745,0.4410419989367358,0.44041859779564696,0.6314,0.6475,0.5992,0.5758,0.4474,0.3,132,76,60,"[76, 29, 27]","[25, 34, 17]","[27, 15, 18]",1.3251371383666992,0.45778611632270166,20.52810311317444
31,7.938926261462371e-05,0.34878620792030746,0.9963729288599456,268,0.6406832919724753,0.4626865671641791,0.38367889420521,0.37829705736626645,0.6583,0.6707,0.593,0.7045,0.2632,0.1833,132,76,60,"[93, 23, 16]","[41, 20, 15]","[37, 12, 11]",1.2001289129257202,0.4774859287054409,20.37320351600647
