epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_val_loss,val_val_acc_slice,val_confusion_0,val_confusion_1,val_confusion_2,seconds
1,0.0001,1.1592530242766466,0.4274997939164125,268,0.6503744409292976,0.47761194029850745,0.4597554492291334,0.44208916083916083,0.6531,0.69,0.608,0.5758,0.2368,0.5667,132,76,60,1.1383938789367676,0.46575984990619135,"[76, 8, 48]","[24, 18, 34]","[24, 2, 34]",24.12681007385254
2,9.997532801828658e-05,1.0116966926160251,0.5305415876679581,268,0.5986822372029416,0.40671641791044777,0.4014619883040936,0.3928544938343996,0.597,0.6125,0.5865,0.4167,0.4211,0.3667,132,76,60,1.2768211364746094,0.4155722326454034,"[55, 38, 39]","[26, 32, 18]","[19, 19, 22]",20.592943906784058
3,9.990133642141359e-05,0.8818146851300387,0.6395185887395928,268,0.672929151225881,0.48880597014925375,0.4586656034024455,0.45611899932386746,0.6994,0.6621,0.6573,0.5909,0.3684,0.4167,132,76,60,1.130551815032959,0.49437148217636023,"[78, 17, 37]","[25, 28, 23]","[20, 15, 25]",20.788216590881348
4,9.977809823015401e-05,0.77026896484214,0.7177479185557663,268,0.6734253368105922,0.5186567164179104,0.4431951089845827,0.44190026309231606,0.6598,0.6882,0.6723,0.7348,0.3947,0.2,132,76,60,1.1614559888839722,0.5056285178236398,"[97, 21, 14]","[41, 30, 5]","[32, 16, 12]",20.48585057258606
5,9.960573506572391e-05,0.6715954186330476,0.7910312422718655,268,0.6616939481442189,0.48880597014925375,0.4453216374269006,0.43596450437882667,0.6934,0.6723,0.6194,0.5833,0.5526,0.2,132,76,60,1.2705481052398682,0.4812382739212008,"[77, 42, 13]","[23, 42, 11]","[21, 27, 12]",20.672494649887085
6,9.93844170297569e-05,0.6062666396396629,0.8373588327425604,268,0.6523979882024581,0.4962686567164179,0.46440723019670394,0.4634113801614302,0.6561,0.6656,0.6354,0.5985,0.3947,0.4,132,76,60,1.3892565965652466,0.4723264540337711,"[79, 20, 33]","[30, 30, 16]","[22, 14, 24]",20.294661045074463
7,9.911436253643445e-05,0.5542627343556796,0.8733822438381007,268,0.6143598967467002,0.4664179104477612,0.4145933014354067,0.4123953384595655,0.6495,0.6191,0.5745,0.6061,0.4211,0.2167,132,76,60,1.3609552383422852,0.45590994371482174,"[80, 34, 18]","[32, 32, 12]","[20, 27, 13]",20.51974606513977
8,9.879583809693738e-05,0.5129857213054365,0.9013271783035199,268,0.5868489141684768,0.44776119402985076,0.3854864433811802,0.38025365817194184,0.6171,0.5494,0.594,0.6591,0.1974,0.3,132,76,60,1.4486966133117676,0.4376172607879925,"[87, 24, 21]","[41, 15, 20]","[24, 18, 18]",20.69968581199646
9,9.842915805643157e-05,0.48295201697871154,0.9224301376638364,268,0.5846912354071796,0.44776119402985076,0.40919723551302495,0.4088793484901738,0.6247,0.6083,0.5211,0.553,0.4079,0.2667,132,76,60,1.4342594146728516,0.44652908067542213,"[73, 30, 29]","[31, 31, 14]","[27, 17, 16]",20.56349015235901
10,9.801468428384717e-05,0.46383949501792926,0.9357843541340367,268,0.6006998663853347,0.4962686567164179,0.41687931951089846,0.41466628609485756,0.6205,0.6167,0.5649,0.7348,0.3158,0.2,132,76,60,1.3516980409622192,0.46810506566604126,"[97, 18, 17]","[43, 24, 9]","[36, 12, 12]",20.476221561431885
11,9.75528258147577e-05,0.4455264727248372,0.9495507377792433,268,0.6385764742116329,0.503731343283582,0.4496278575225943,0.44870776567003207,0.6798,0.6534,0.5825,0.6515,0.4474,0.25,132,76,60,1.343382716178894,0.4821763602251407,"[86, 24, 22]","[29, 34, 13]","[24, 21, 15]",20.523621797561646
12,9.70440384477113e-05,0.4334266693414599,0.9539197098343088,268,0.6174737972725588,0.44402985074626866,0.41411483253588516,0.41142930360689345,0.6547,0.6417,0.556,0.5152,0.4605,0.2667,132,76,60,1.3728951215744019,0.44183864915572235,"[68, 29, 35]","[23, 35, 18]","[19, 25, 16]",20.582830905914307
13,9.64888242944126e-05,0.4197700493570192,0.9643063226444646,268,0.5944651887714968,0.48880597014925375,0.43697501329080274,0.4381191222570533,0.6267,0.6123,0.5445,0.6364,0.4079,0.2667,132,76,60,1.4262477159500122,0.45075046904315197,"[84, 24, 24]","[29, 31, 16]","[30, 14, 16]",20.00826907157898
14,9.588773128419907e-05,0.4095303918550614,0.9736213007996043,268,0.6334321817995386,0.48134328358208955,0.4552099946836789,0.4527625152625152,0.6521,0.677,0.5712,0.5455,0.4868,0.3333,132,76,60,1.3125584125518799,0.46904315196998125,"[72, 27, 33]","[24, 37, 15]","[24, 16, 20]",20.45465087890625
15,9.5241352623301e-05,0.40220536809104773,0.9750226691946253,268,0.6239731821218858,0.4962686567164179,0.46137692716640083,0.46047082688304064,0.6615,0.6375,0.5728,0.6061,0.3947,0.3833,132,76,60,1.3484466075897217,0.47138836772983117,"[80, 22, 30]","[28, 30, 18]","[22, 15, 23]",20.439152240753174
16,9.455032620941843e-05,0.3949864049233369,0.9776605391146649,268,0.6184162903445024,0.5111940298507462,0.45047846889952153,0.4472330738315393,0.6635,0.641,0.5507,0.6742,0.4605,0.2167,132,76,60,1.3228459358215332,0.474671669793621,"[89, 27, 16]","[28, 35, 13]","[24, 23, 13]",20.204904794692993
17,9.381533400219321e-05,0.3921825813643764,0.9797213749896958,268,0.6322763480392157,0.4626865671641791,0.4472620946305157,0.44203581097991035,0.6299,0.6367,0.6302,0.5076,0.4342,0.4,132,76,60,1.4263410568237305,0.44183864915572235,"[67, 33, 32]","[29, 33, 14]","[17, 19, 24]",20.50433325767517
18,9.303710135019722e-05,0.3864167087420658,0.9819470777347292,268,0.610629997958268,0.47761194029850745,0.42663476874003187,0.4256421686075667,0.6472,0.6244,0.5603,0.6439,0.3026,0.3333,132,76,60,1.3860619068145752,0.4606003752345216,"[85, 18, 29]","[31, 23, 22]","[26, 14, 20]",20.503299713134766
19,9.22163962751008e-05,0.37889852186546863,0.9873876844448108,268,0.6447746678953142,0.5,0.46714513556618825,0.46652298850574714,0.654,0.6865,0.5938,0.5909,0.4605,0.35,132,76,60,1.32978093624115,0.4793621013133208,"[78, 32, 22]","[28, 35, 13]","[22, 17, 21]",20.506178617477417
20,9.135402871372814e-05,0.3738677477897535,0.9880471519248207,268,0.6137865748909673,0.4701492537313433,0.4140882509303561,0.4119141457374713,0.6378,0.6253,0.5782,0.6212,0.4211,0.2,132,76,60,1.3438384532928467,0.4652908067542214,"[82, 28, 22]","[31, 32, 13]","[29, 19, 12]",20.46991205215454
21,9.045084971874742e-05,0.37315245258789465,0.9869755172698046,268,0.6257781133555127,0.5298507462686567,0.4507708665603402,0.4495282765809057,0.6401,0.6606,0.5766,0.7576,0.3947,0.2,132,76,60,1.2717397212982178,0.48545966228893056,"[100, 18, 14]","[39, 30, 7]","[34, 14, 12]",20.285564661026
22,8.950775061878456e-05,0.3674451849857802,0.9909323221498639,268,0.622614220091484,0.5,0.47719298245614034,0.47250447062410866,0.6296,0.6162,0.6221,0.5833,0.3816,0.4667,132,76,60,1.3401390314102173,0.4474671669793621,"[77, 15, 40]","[27, 29, 20]","[18, 14, 28]",20.470727682113647
23,8.852566213878951e-05,0.3627535633140302,0.9929107245898937,268,0.6333867728096637,0.48507462686567165,0.4270069112174375,0.42861533629470094,0.6391,0.6363,0.6248,0.6591,0.3553,0.2667,132,76,60,1.2685437202453613,0.46669793621013134,"[87, 21, 24]","[34, 27, 15]","[32, 12, 16]",20.399385452270508
24,8.750555348152303e-05,0.36267402792947817,0.9915093561948727,268,0.6495299731658091,0.5149253731343284,0.45885167464114834,0.4609651832266673,0.6813,0.6571,0.6103,0.6818,0.3947,0.3,132,76,60,1.2282339334487915,0.48827392120075047,"[90, 24, 18]","[32, 30, 14]","[29, 13, 18]",20.513441801071167
25,8.644843137107063e-05,0.3615587212642198,0.9924161239798862,268,0.653100842763188,0.5410447761194029,0.4772195640616694,0.4824347103982362,0.6726,0.646,0.6407,0.7273,0.4211,0.2833,132,76,60,1.1794378757476807,0.5065666041275797,"[96, 23, 13]","[36, 32, 8]","[33, 10, 17]",20.372713088989258
26,8.535533905932742e-05,0.3595882079615242,0.9924161239798862,268,0.6200118237777874,0.5111940298507462,0.4637692716640085,0.46459593922280495,0.6527,0.634,0.5733,0.6439,0.4474,0.3,132,76,60,1.30800461769104,0.4643527204502814,"[85, 22, 25]","[25, 34, 17]","[26, 16, 18]",20.16283893585205
27,8.422735529643448e-05,0.35535427700725414,0.9934877586349024,268,0.6194962094149401,0.4664179104477612,0.4304359383306752,0.42895113121366973,0.6538,0.6266,0.578,0.5606,0.4474,0.2833,132,76,60,1.3222390413284302,0.4624765478424015,"[74, 36, 22]","[29, 34, 13]","[23, 20, 17]",20.53563618659973
28,8.306559326618263e-05,0.3539277921750062,0.9949715604649245,268,0.6311756865210812,0.5,0.435725677830941,0.4351862396332689,0.6591,0.6493,0.5852,0.7045,0.3026,0.3,132,76,60,1.2691619396209717,0.48405253283302063,"[93, 16, 23]","[33, 23, 20]","[30, 12, 18]",20.328964948654175
29,8.187119948743452e-05,0.3509801931132017,0.9959607616849394,268,0.6442693072965907,0.5373134328358209,0.4851674641148325,0.48503880443402775,0.6869,0.6367,0.6092,0.6818,0.4737,0.3,132,76,60,1.235526442527771,0.4901500938086304,"[90, 23, 19]","[28, 36, 12]","[19, 23, 18]",20.472126483917236
30,8.064535268264887e-05,0.35056722092418185,0.9959607616849394,268,0.6526802354637108,0.5261194029850746,0.4450026581605529,0.44479586237493135,0.6843,0.652,0.6217,0.7727,0.3289,0.2333,132,76,60,1.219678282737732,0.5046904315196998,"[102, 11, 19]","[39, 25, 12]","[34, 12, 14]",20.42285418510437
31,7.938926261462371e-05,0.34879590833917234,0.9953012942049295,268,0.6589848401405097,0.503731343283582,0.4649920255183413,0.4624689027686127,0.6765,0.6756,0.6248,0.5985,0.5132,0.2833,132,76,60,1.2591097354888916,0.4929643527204503,"[79, 34, 19]","[26, 39, 11]","[24, 19, 17]",20.58230209350586
32,7.810416889260659e-05,0.348260896025678,0.9955485945099333,268,0.6460326634257555,0.5111940298507462,0.45701754385964904,0.45729621828015016,0.6676,0.6432,0.6273,0.6667,0.4211,0.2833,132,76,60,1.2655783891677856,0.4812382739212008,"[88, 28, 16]","[28, 32, 16]","[24, 19, 17]",20.49713945388794
33,7.679133974894988e-05,0.3461781637694749,0.9969499629049543,268,0.6387506096629548,0.5223880597014925,0.4632110579479001,0.4667580540876451,0.648,0.6356,0.6327,0.7045,0.3684,0.3167,132,76,60,1.238975167274475,0.47654784240150094,"[93, 13, 26]","[36, 28, 12]","[29, 12, 19]",20.302782773971558
34,7.545207078751862e-05,0.3443363319568667,0.9975269969499629,268,0.6425644197993269,0.5261194029850746,0.4580808080808081,0.4544607150471864,0.646,0.6631,0.6186,0.7576,0.25,0.3667,132,76,60,1.2882859706878662,0.4817073170731707,"[100, 11, 21]","[42, 19, 15]","[29, 9, 22]",20.424825191497803
