epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
1,0.0001,1.1469337338224384,0.43763910642156456,268,0.6575456728514003,0.4925373134328358,0.47682083997873476,0.4686073518408847,0.6516,0.7163,0.6047,0.5682,0.3289,0.5333,132,76,60,"[75, 10, 47]","[23, 25, 28]","[22, 6, 32]",1.1051470041275024,0.47138836772983117,17.219629287719727
2,9.997532801828658e-05,1.0185206354072212,0.531201055147968,268,0.6526616787065703,0.4552238805970149,0.5037745879851143,0.4541802713729824,0.6238,0.7103,0.624,0.3561,0.3553,0.8,132,76,60,"[47, 13, 72]","[15, 27, 34]","[7, 5, 48]",1.232085943222046,0.41885553470919323,13.4420006275177
3,9.990133642141359e-05,0.8979321122022093,0.6241035363943616,268,0.6499996805095489,0.503731343283582,0.4659489633173844,0.4688111401039721,0.6307,0.7002,0.6191,0.6136,0.4342,0.35,132,76,60,"[81, 21, 30]","[33, 33, 10]","[28, 11, 21]",1.1670503616333008,0.4929643527204503,12.867248296737671
4,9.977809823015401e-05,0.8076546206516363,0.6916165196603743,268,0.6216842848736231,0.48134328358208955,0.49853801169590645,0.4765652660389503,0.6145,0.668,0.5826,0.4167,0.5789,0.5,132,76,60,"[55, 34, 43]","[22, 44, 10]","[13, 17, 30]",1.3750791549682617,0.41932457786116323,12.802457094192505
5,9.960573506572391e-05,0.7212574576498227,0.7564091995713461,268,0.5823859576955552,0.44029850746268656,0.39994683678894205,0.40211167320113755,0.5708,0.653,0.5234,0.5455,0.4211,0.2333,132,76,60,"[72, 26, 34]","[29, 32, 15]","[35, 11, 14]",1.45994234085083,0.424484052532833,13.104976654052734
6,9.93844170297569e-05,0.6570902736274833,0.7991097189019867,268,0.619080903777595,0.4664179104477612,0.4216108452950558,0.42316423095309713,0.6083,0.6576,0.5913,0.6061,0.3421,0.3167,132,76,60,"[80, 18, 34]","[34, 26, 16]","[28, 13, 19]",1.3656340837478638,0.44887429643527205,12.998995304107666
7,9.911436253643445e-05,0.6046650642594387,0.8376885664825653,268,0.6460929775848506,0.5,0.47299308878256247,0.47056712604157863,0.6335,0.6804,0.6244,0.5909,0.3947,0.4333,132,76,60,"[78, 20, 34]","[26, 30, 20]","[23, 11, 26]",1.3617689609527588,0.46622889305816134,12.578748226165771
8,9.879583809693738e-05,0.5682249779104155,0.8629131975929437,268,0.6214005773530734,0.458955223880597,0.4351674641148325,0.4321401729552394,0.6183,0.6693,0.5766,0.5152,0.4737,0.3167,132,76,60,"[68, 28, 36]","[23, 36, 17]","[23, 18, 19]",1.50187087059021,0.4432457786116323,12.540550947189331
9,9.842915805643157e-05,0.5300316917916907,0.888137828703322,268,0.5883922409827015,0.45149253731343286,0.4024189261031366,0.4038568147620179,0.5824,0.6221,0.5607,0.5985,0.3421,0.2667,132,76,60,"[79, 24, 29]","[33, 26, 17]","[32, 12, 16]",1.448250651359558,0.43058161350844276,12.806366920471191
10,9.801468428384717e-05,0.5067465809444811,0.9054488500535818,268,0.6360765215713938,0.47388059701492535,0.4166135034556087,0.415975542329333,0.6298,0.6793,0.599,0.6288,0.4211,0.2,132,76,60,"[83, 24, 25]","[30, 32, 14]","[32, 16, 12]",1.3497482538223267,0.4606003752345216,12.956208229064941
11,9.75528258147577e-05,0.48955083760098095,0.9179787321737697,268,0.6321406736001357,0.47761194029850745,0.43264221158958005,0.4310857459457939,0.6266,0.6866,0.5833,0.5909,0.4737,0.2333,132,76,60,"[78, 27, 27]","[32, 36, 8]","[28, 18, 14]",1.3586400747299194,0.4629455909943715,12.753895282745361
12,9.70440384477113e-05,0.47304780881625585,0.9276234440689144,268,0.6141084314507301,0.44776119402985076,0.4552897395002658,0.43497272635452705,0.5851,0.678,0.5792,0.3939,0.6053,0.3667,132,76,60,"[52, 41, 39]","[17, 46, 13]","[16, 22, 22]",1.665082573890686,0.4104127579737336,13.093265056610107
13,9.64888242944126e-05,0.45911893309238727,0.9380924903140714,268,0.6254492580755158,0.47388059701492535,0.4261828814460394,0.4299210607440865,0.6148,0.6809,0.5807,0.6136,0.3816,0.2833,132,76,60,"[81, 18, 33]","[33, 29, 14]","[32, 11, 17]",1.3935164213180542,0.4620075046904315,12.81101655960083
14,9.588773128419907e-05,0.44157011060248536,0.9495507377792433,268,0.5886914137204384,0.3880597014925373,0.3858054226475279,0.377238118071932,0.5685,0.6423,0.5553,0.3864,0.4211,0.35,132,76,60,"[51, 33, 48]","[25, 32, 19]","[21, 18, 21]",1.626405954360962,0.400093808630394,12.845274686813354
15,9.5241352623301e-05,0.43222176461647843,0.955733245404336,268,0.6362972218162813,0.47388059701492535,0.41757044125465176,0.42008657410543354,0.6396,0.6885,0.5808,0.6439,0.3421,0.2667,132,76,60,"[85, 19, 28]","[35, 26, 15]","[34, 10, 16]",1.340331792831421,0.4699812382739212,12.781997442245483
