epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_sensitivity,val_specificity,val_ppv,val_npv,val_per_class_auc_0,val_per_class_auc_1,val_per_class_recall_0,val_per_class_recall_1,val_class_counts_0,val_class_counts_1,val_positive_rate,val_trivial_baseline_accuracy,val_val_loss,val_val_acc_slice,val_confusion_0,val_confusion_1,seconds
1,0.0001,0.7664837595396357,0.5721319547021172,268,0.612900641025641,0.30597014925373134,0.5113782051282051,0.30035930833146196,0.8833333333333333,0.13942307692307693,0.22844827586206898,0.8055555555555556,,,0.1394,0.8833,208,60,0.22388059701492538,0.7761194029850746,1.2568519115447998,0.3130841121495327,"[29, 179]","[7, 53]",15.070813417434692
2,9.997532801828658e-05,0.6566584236649639,0.6827506975217462,268,0.576923076923077,0.48134328358208955,0.5532051282051282,0.4648854413560296,0.6833333333333333,0.4230769230769231,0.2546583850931677,0.822429906542056,,,0.4231,0.6833,208,60,0.22388059701492538,0.7761194029850746,0.9847195148468018,0.48130841121495327,"[88, 120]","[19, 41]",11.271033525466919
3,9.990133642141359e-05,0.5775042104541072,0.7574265550631872,268,0.5221955128205129,0.6455223880597015,0.492948717948718,0.4929801852036244,0.21666666666666667,0.7692307692307693,0.21311475409836064,0.7729468599033816,,,0.7692,0.2167,208,60,0.22388059701492538,0.7761194029850746,0.6948293447494507,0.6551401869158878,"[160, 48]","[47, 13]",11.230730772018433
4,9.977809823015401e-05,0.4933368401752011,0.8330871491875923,268,0.5510416666666667,0.6119402985074627,0.5306089743589744,0.5186183074265975,0.38333333333333336,0.6778846153846154,0.25555555555555554,0.7921348314606742,,,0.6779,0.3833,208,60,0.22388059701492538,0.7761194029850746,0.8182697892189026,0.6009345794392523,"[141, 67]","[37, 23]",11.237767696380615
5,9.960573506572391e-05,0.4495666293543821,0.8780567864762843,268,0.5237179487179487,0.6231343283582089,0.5496794871794872,0.5343940827384537,0.4166666666666667,0.6826923076923077,0.27472527472527475,0.8022598870056498,,,0.6827,0.4167,208,60,0.22388059701492538,0.7761194029850746,0.8537312746047974,0.6196261682242991,"[142, 66]","[35, 25]",10.814807653427124
6,9.93844170297569e-05,0.41400488072891023,0.9077630067290333,268,0.5427884615384616,0.5485074626865671,0.5490384615384616,0.5031181527052082,0.55,0.5480769230769231,0.25984251968503935,0.8085106382978723,,,0.5481,0.55,208,60,0.22388059701492538,0.7761194029850746,1.116040825843811,0.5560747663551402,"[114, 94]","[27, 33]",11.05575680732727
7,9.911436253643445e-05,0.38481991854125636,0.9328737895946168,268,0.4844551282051282,0.7014925373134329,0.5290064102564103,0.5296182536200088,0.21666666666666667,0.8413461538461539,0.2826086956521739,0.7882882882882883,,,0.8413,0.2167,208,60,0.22388059701492538,0.7761194029850746,0.7498192191123962,0.677570093457944,"[175, 33]","[47, 13]",11.163986444473267
8,9.879583809693738e-05,0.3706624869855777,0.9440341375348761,268,0.5303685897435897,0.5895522388059702,0.4983974358974359,0.490846286701209,0.3333333333333333,0.6634615384615384,0.2222222222222222,0.7752808988764045,,,0.6635,0.3333,208,60,0.22388059701492538,0.7761194029850746,0.895219624042511,0.5906542056074766,"[138, 70]","[40, 20]",10.486798286437988
9,9.842915805643157e-05,0.3607508103561464,0.9520761529624159,268,0.5313301282051281,0.7089552238805971,0.5278846153846154,0.5277853076714557,0.2,0.8557692307692307,0.2857142857142857,0.7876106194690266,,,0.8558,0.2,208,60,0.22388059701492538,0.7761194029850746,0.6632451415061951,0.685981308411215,"[178, 30]","[48, 12]",11.005357265472412
10,9.801468428384717e-05,0.35180539848494174,0.960282291153783,268,0.5322916666666667,0.6865671641791045,0.5253205128205128,0.5259433962264151,0.23333333333333334,0.8173076923076923,0.2692307692307692,0.7870370370370371,,,0.8173,0.2333,208,60,0.22388059701492538,0.7761194029850746,0.6970459222793579,0.6794392523364486,"[170, 38]","[46, 14]",11.032862186431885
11,9.75528258147577e-05,0.3422161974422493,0.9661907106515674,268,0.5624198717948719,0.7164179104477612,0.5386217948717948,0.539893376705521,0.21666666666666667,0.8605769230769231,0.30952380952380953,0.7920353982300885,,,0.8606,0.2167,208,60,0.22388059701492538,0.7761194029850746,0.6338318586349487,0.7158878504672898,"[179, 29]","[47, 13]",10.559080600738525
12,9.70440384477113e-05,0.3387837237018915,0.9688166748728049,268,0.48141025641025637,0.6716417910447762,0.4979166666666667,0.4967136150234742,0.18333333333333332,0.8125,0.22,0.7752293577981652,,,0.8125,0.1833,208,60,0.22388059701492538,0.7761194029850746,0.7366707921028137,0.6719626168224299,"[169, 39]","[49, 11]",11.034346580505371
13,9.64888242944126e-05,0.32873020269161335,0.9776793041194813,268,0.4946314102564102,0.6268656716417911,0.510576923076923,0.5073529411764706,0.3,0.7211538461538461,0.23684210526315788,0.78125,,,0.7212,0.3,208,60,0.22388059701492538,0.7761194029850746,0.8229177594184875,0.6271028037383177,"[150, 58]","[42, 18]",11.04962158203125
14,9.588773128419907e-05,0.3329323224396849,0.976038076481208,268,0.5157852564102563,0.6343283582089553,0.4857371794871795,0.4859066708424679,0.21666666666666667,0.7548076923076923,0.203125,0.7696078431372549,,,0.7548,0.2167,208,60,0.22388059701492538,0.7761194029850746,0.7901079654693604,0.6476635514018692,"[157, 51]","[47, 13]",10.988734006881714
15,9.5241352623301e-05,0.33383303425806254,0.9753815854258986,268,0.5293269230769231,0.6417910447761194,0.532051282051282,0.5270588235294118,0.3333333333333333,0.7307692307692307,0.2631578947368421,0.7916666666666666,,,0.7308,0.3333,208,60,0.22388059701492538,0.7761194029850746,0.8061215281486511,0.6373831775700934,"[152, 56]","[40, 20]",10.887916326522827
16,9.455032620941843e-05,0.31700976979217954,0.9862136878385032,268,0.519150641025641,0.6529850746268657,0.5036858974358974,0.5036542865677587,0.23333333333333334,0.7740384615384616,0.22950819672131148,0.7777777777777778,,,0.774,0.2333,208,60,0.22388059701492538,0.7761194029850746,0.7762516140937805,0.6523364485981309,"[161, 47]","[46, 14]",10.979780197143555
17,9.381533400219321e-05,0.3132254097940259,0.987526669949122,268,0.5287660256410256,0.6380597014925373,0.5296474358974359,0.5244315167480745,0.3333333333333333,0.7259615384615384,0.2597402597402597,0.7905759162303665,,,0.726,0.3333,208,60,0.22388059701492538,0.7761194029850746,0.8442532420158386,0.6317757009345795,"[151, 57]","[40, 20]",11.053945541381836
18,9.303710135019722e-05,0.3126594547213503,0.989003774823568,268,0.5154647435897436,0.6007462686567164,0.5115384615384615,0.5026967032585887,0.35,0.6730769230769231,0.23595505617977527,0.7821229050279329,,,0.6731,0.35,208,60,0.22388059701492538,0.7761194029850746,0.9661458134651184,0.6065420560747663,"[140, 68]","[39, 21]",10.564677953720093
19,9.22163962751008e-05,0.3102630860657209,0.9896602658788775,268,0.490224358974359,0.7089552238805971,0.48044871794871796,0.45984496124031005,0.06666666666666667,0.8942307692307693,0.15384615384615385,0.768595041322314,,,0.8942,0.0667,208,60,0.22388059701492538,0.7761194029850746,0.6485026478767395,0.7065420560747664,"[186, 22]","[56, 4]",11.007505416870117
20,9.135402871372814e-05,0.30521476842021583,0.9935992122107337,268,0.508573717948718,0.6604477611940298,0.5025641025641026,0.5025192256695836,0.21666666666666667,0.7884615384615384,0.22807017543859648,0.7772511848341233,,,0.7885,0.2167,208,60,0.22388059701492538,0.7761194029850746,0.7089183926582336,0.6598130841121496,"[164, 44]","[47, 13]",11.216576337814331
21,9.045084971874742e-05,0.30726758517715,0.9909732479894962,268,0.4969551282051282,0.7313432835820896,0.5245192307692308,0.5192825112107623,0.15,0.8990384615384616,0.3,0.7857142857142857,,,0.899,0.15,208,60,0.22388059701492538,0.7761194029850746,0.6527703404426575,0.7130841121495327,"[187, 21]","[51, 9]",10.680235385894775
22,8.950775061878456e-05,0.30736839886704004,0.9932709666830789,268,0.5253205128205127,0.6828358208955224,0.5288461538461539,0.5294846638438501,0.25,0.8076923076923077,0.2727272727272727,0.7887323943661971,,,0.8077,0.25,208,60,0.22388059701492538,0.7761194029850746,0.7422059774398804,0.6607476635514019,"[168, 40]","[45, 15]",10.945443391799927
23,8.852566213878951e-05,0.3015350887737465,0.9955686853766618,268,0.5201923076923076,0.746268656716418,0.5163461538461539,0.500438596491228,0.1,0.9326923076923077,0.3,0.782258064516129,,,0.9327,0.1,208,60,0.22388059701492538,0.7761194029850746,0.606016993522644,0.7355140186915888,"[194, 14]","[54, 6]",11.053298950195312
24,8.750555348152303e-05,0.2981239317595499,0.9967175447234532,268,0.5256410256410257,0.6455223880597015,0.5048076923076923,0.5044282238442822,0.25,0.7596153846153846,0.23076923076923078,0.7783251231527094,,,0.7596,0.25,208,60,0.22388059701492538,0.7761194029850746,0.7921256422996521,0.6467289719626168,"[158, 50]","[45, 15]",11.081502676010132
25,8.644843137107063e-05,0.3020312836579887,0.9934350894469063,268,0.5488782051282051,0.6380597014925373,0.5118589743589743,0.5100179059466592,0.2833333333333333,0.7403846153846154,0.23943661971830985,0.7817258883248731,,,0.7404,0.2833,208,60,0.22388059701492538,0.7761194029850746,0.8217340111732483,0.6532710280373831,"[154, 54]","[43, 17]",10.942551851272583
26,8.535533905932742e-05,0.30511307321157477,0.9927785983915969,268,0.5604166666666667,0.6716417910447762,0.5572115384615384,0.5531640773020083,0.35,0.7644230769230769,0.3,0.803030303030303,,,0.7644,0.35,208,60,0.22388059701492538,0.7761194029850746,0.7753005027770996,0.6747663551401869,"[159, 49]","[39, 21]",11.059961795806885
27,8.422735529643448e-05,0.30008669336225996,0.9945839487936977,268,0.5772435897435898,0.7014925373134329,0.5230769230769231,0.5227920227920227,0.2,0.8461538461538461,0.2727272727272727,0.7857142857142857,,,0.8462,0.2,208,60,0.22388059701492538,0.7761194029850746,0.6580525040626526,0.7009345794392523,"[176, 32]","[48, 12]",10.974328994750977
28,8.306559326618263e-05,0.296464212262022,0.9955686853766618,268,0.5939102564102564,0.7350746268656716,0.5447115384615384,0.5458169232605323,0.2,0.8894230769230769,0.34285714285714286,0.7939914163090128,,,0.8894,0.2,208,60,0.22388059701492538,0.7761194029850746,0.5964362025260925,0.7401869158878505,"[185, 23]","[48, 12]",10.6154465675354
29,8.187119948743452e-05,0.2955933518740768,0.9972099130149352,268,0.5741987179487179,0.7126865671641791,0.5599358974358974,0.5625649178590355,0.2833333333333333,0.8365384615384616,0.3333333333333333,0.8018433179723502,,,0.8365,0.2833,208,60,0.22388059701492538,0.7761194029850746,0.7095668315887451,0.7065420560747664,"[174, 34]","[43, 17]",11.002140045166016
30,8.064535268264887e-05,0.29833717915922986,0.9962251764319711,268,0.5505608974358974,0.7052238805970149,0.5373397435897436,0.538766529420735,0.23333333333333334,0.8413461538461539,0.2978723404255319,0.7918552036199095,,,0.8413,0.2333,208,60,0.22388059701492538,0.7761194029850746,0.7102216482162476,0.7037383177570093,"[175, 33]","[46, 14]",11.06562614440918
31,7.938926261462371e-05,0.29733310926729445,0.995732808140489,268,0.5557692307692308,0.6828358208955224,0.5584935897435898,0.5565936739659367,0.3333333333333333,0.7836538461538461,0.3076923076923077,0.8029556650246306,,,0.7837,0.3333,208,60,0.22388059701492538,0.7761194029850746,0.7859734296798706,0.6728971962616822,"[163, 45]","[40, 20]",10.548187732696533
