epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_sensitivity,val_specificity,val_ppv,val_npv,val_per_class_auc_0,val_per_class_auc_1,val_per_class_recall_0,val_per_class_recall_1,val_class_counts_0,val_class_counts_1,val_positive_rate,val_trivial_baseline_accuracy,val_val_loss,val_val_acc_slice,val_confusion_0,val_confusion_1,seconds
1,3e-05,0.7173593776706358,0.4799453053783045,177,0.5744065733414485,0.7005649717514124,0.5,0.4119601328903654,0.0,1.0,,0.7005649717514124,,,1.0,0.0,124,53,0.2994350282485876,0.7005649717514124,0.6243292093276978,0.7005649717514124,"[124, 0]","[53, 0]",35.874842166900635
2,2.9992598405485974e-05,0.7011251945113093,0.5474020054694622,177,0.5706025562994523,0.559322033898305,0.5234327449786975,0.5159186535764375,0.4339622641509434,0.6129032258064516,0.323943661971831,0.7169811320754716,,,0.6129,0.434,124,53,0.2994350282485876,0.7005649717514124,0.6678617000579834,0.5706214689265536,"[76, 48]","[30, 23]",35.41333627700806
3,2.9970400926424075e-05,0.6761641524114061,0.6084776663628076,177,0.5873402312842362,0.5649717514124294,0.5814820450395617,0.5483047757929275,0.6226415094339622,0.5403225806451613,0.36666666666666664,0.7701149425287356,,,0.5403,0.6226,124,53,0.2994350282485876,0.7005649717514124,0.706458330154419,0.5536723163841808,"[67, 57]","[20, 33]",35.9288215637207
4,2.9933429469046202e-05,0.6273201148729489,0.6716043755697356,177,0.581253804017042,0.5988700564971752,0.5408551430310408,0.5385378034002865,0.39622641509433965,0.6854838709677419,0.35,0.7264957264957265,,,0.6855,0.3962,124,53,0.2994350282485876,0.7005649717514124,0.6995754837989807,0.596045197740113,"[85, 39]","[32, 21]",35.226048946380615
5,2.988172051971717e-05,0.5441957958850843,0.7732452142206017,177,0.514607425441266,0.4689265536723164,0.4859251369446135,0.4562745098039216,0.5283018867924528,0.4435483870967742,0.28865979381443296,0.6875,,,0.4435,0.5283,124,53,0.2994350282485876,0.7005649717514124,0.8903526067733765,0.4759887005649718,"[55, 69]","[25, 28]",35.858696937561035
6,2.9815325108927066e-05,0.462643646824436,0.8489061075660893,177,0.5649726110772976,0.5819209039548022,0.598980523432745,0.5649083178315174,0.6415094339622641,0.5564516129032258,0.38202247191011235,0.7840909090909091,,,0.5565,0.6415,124,53,0.2994350282485876,0.7005649717514124,0.8851513266563416,0.557909604519774,"[69, 55]","[19, 34]",35.73404932022095
7,2.973430876093033e-05,0.382937407863064,0.9120328167730173,177,0.5185636031649422,0.6440677966101694,0.5515063907486305,0.5526896385735489,0.32075471698113206,0.782258064516129,0.38636363636363635,0.7293233082706767,,,0.7823,0.3208,124,53,0.2994350282485876,0.7005649717514124,0.8613767623901367,0.6242937853107344,"[97, 27]","[36, 17]",35.96136140823364
8,2.963875142908121e-05,0.34951278700433,0.9350501367365542,177,0.5232805842970176,0.6101694915254238,0.49490261716372486,0.4897004136547863,0.20754716981132076,0.782258064516129,0.2894736842105263,0.697841726618705,,,0.7823,0.2075,124,53,0.2994350282485876,0.7005649717514124,0.932753324508667,0.614406779661017,"[97, 27]","[42, 11]",35.28486657142639
9,2.9528747416929464e-05,0.3163645491343579,0.9617137648131268,177,0.5573645769933049,0.6666666666666666,0.5892422398052344,0.5913200015653739,0.39622641509433965,0.782258064516129,0.4375,0.751937984496124,,,0.7823,0.3962,124,53,0.2994350282485876,0.7005649717514124,0.9026653170585632,0.6285310734463276,"[97, 27]","[32, 21]",35.87419867515564
10,2.9404405285154146e-05,0.3112594618401749,0.9626253418413856,177,0.561472915398661,0.5932203389830508,0.5044126597687157,0.5042016806722689,0.2830188679245283,0.7258064516129032,0.30612244897959184,0.703125,,,0.7258,0.283,124,53,0.2994350282485876,0.7005649717514124,0.9760562181472778,0.6129943502824858,"[90, 34]","[38, 15]",35.47499895095825
