epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
1,3e-05,1.1077613398572133,0.3873297226325291,268,0.6351157122998261,0.3917910447761194,0.41709197235513024,0.3607156024803084,0.6658,0.6511,0.5885,0.3864,0.1316,0.7333,132,76,60,"[51, 9, 72]","[8, 10, 58]","[9, 7, 44]",1.0922362804412842,0.39626168224299063,58.77839207649231
2,2.9992598405485974e-05,1.0444098728817905,0.4941736418841293,268,0.672157640046572,0.5111940298507462,0.4781765018607123,0.4712692041884588,0.671,0.7064,0.6391,0.5758,0.5921,0.2667,132,76,60,"[76, 42, 14]","[23, 45, 8]","[22, 22, 16]",1.0228351354599,0.5224299065420561,56.09717345237732
3,2.9970400926424075e-05,0.957045514576153,0.5699983587723617,268,0.6507813420884241,0.43283582089552236,0.44269005847953213,0.4254254476408886,0.6205,0.7079,0.6239,0.4167,0.3947,0.5167,132,76,60,"[55, 29, 48]","[20, 30, 26]","[19, 10, 31]",1.0876681804656982,0.44953271028037384,55.11435890197754
4,2.9933429469046202e-05,0.8530616428432217,0.6343344821926801,268,0.6464729701305746,0.5074626865671642,0.49059011164274313,0.48486554096310197,0.6488,0.6883,0.6023,0.5455,0.5263,0.4,132,76,60,"[72, 30, 30]","[20, 40, 16]","[22, 14, 24]",1.102197527885437,0.4869158878504673,56.249074935913086
5,2.988172051971717e-05,0.7182861608608239,0.7416707697357624,268,0.6414991916515717,0.4925373134328358,0.4709197235513025,0.4637860821655288,0.6433,0.6714,0.6098,0.5303,0.5658,0.3167,132,76,60,"[70, 44, 18]","[20, 43, 13]","[20, 21, 19]",1.188704490661621,0.48598130841121495,55.69937872886658
6,2.9815325108927066e-05,0.5928036495517397,0.8362054817003118,268,0.6123937769424418,0.44029850746268656,0.40738968633705475,0.40317784155745356,0.6405,0.6382,0.5584,0.5152,0.4737,0.2333,132,76,60,"[68, 35, 29]","[22, 36, 18]","[17, 29, 14]",1.4091320037841797,0.4439252336448598,55.30425024032593
7,2.973430876093033e-05,0.5108695669595232,0.8883965205974068,268,0.6320239242718926,0.48507462686567165,0.4640616693248272,0.4613872990187755,0.6451,0.6454,0.6056,0.5606,0.3816,0.45,132,76,60,"[74, 18, 40]","[23, 29, 24]","[26, 7, 27]",1.3452128171920776,0.47757009345794393,56.0094895362854
8,2.963875142908121e-05,0.45847766199429674,0.9215493188905302,268,0.6053461389616576,0.5,0.39383306751727803,0.362145023435346,0.5907,0.6367,0.5887,0.8561,0.0921,0.2333,132,76,60,"[113, 7, 12]","[51, 7, 18]","[43, 3, 14]",1.3605095148086548,0.497196261682243,55.17644476890564
9,2.9528747416929464e-05,0.4299426596093878,0.9409158050221565,268,0.6043104223348031,0.4664179104477612,0.42698032961190857,0.42614869721755927,0.6072,0.6308,0.575,0.5985,0.3158,0.3667,132,76,60,"[79, 20, 33]","[30, 24, 22]","[29, 9, 22]",1.4393150806427002,0.4654205607476635,56.11271142959595
10,2.9404405285154146e-05,0.4094358889042754,0.954537994419826,268,0.6116309483859793,0.44776119402985076,0.43397129186602873,0.4089171825993681,0.6249,0.5932,0.6167,0.5379,0.1974,0.5667,132,76,60,"[71, 16, 45]","[30, 15, 31]","[20, 6, 34]",1.6696058511734009,0.4411214953271028,56.03270769119263
