epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_val_loss,val_val_acc_slice,val_confusion_0,val_confusion_1,val_confusion_2,seconds
1,0.0001,1.1507115840872557,0.43170389910147555,268,0.6836169882319263,0.45149253731343286,0.49072301967038817,0.45291503723364507,0.6952,0.7042,0.6514,0.3485,0.4737,0.65,132,76,60,1.1166449785232544,0.44652908067542213,"[46, 24, 62]","[10, 36, 30]","[5, 16, 39]",24.392995357513428
2,9.997532801828658e-05,1.0084586042473827,0.5336740581980051,268,0.6867869104687023,0.5,0.5025518341307815,0.488543581000161,0.6737,0.7235,0.6631,0.4848,0.5395,0.4833,132,76,60,1.1191720962524414,0.474671669793621,"[64, 28, 40]","[22, 41, 13]","[13, 18, 29]",20.4998939037323
3,9.990133642141359e-05,0.8955565963492292,0.6250103041793752,268,0.6756567032253952,0.5261194029850746,0.5251727804359383,0.5100051183050552,0.6631,0.695,0.6688,0.5606,0.3816,0.6333,132,76,60,1.2215893268585205,0.49953095684803,"[74, 12, 46]","[25, 29, 22]","[17, 5, 38]",20.31715703010559
4,9.977809823015401e-05,0.7962201210998681,0.7022504327755338,268,0.6513862897401017,0.5223880597014925,0.45364167995746946,0.455819217621997,0.6524,0.6721,0.6297,0.7197,0.4079,0.2333,132,76,60,1.1727592945098877,0.49671669793621015,"[95, 19, 18]","[34, 31, 11]","[36, 10, 14]",20.16410541534424
5,9.960573506572391e-05,0.7116246599620806,0.7585524688813783,268,0.6149412528475996,0.48880597014925375,0.4568048910154174,0.45580171517671514,0.642,0.6428,0.56,0.5985,0.3553,0.4167,132,76,60,1.321252703666687,0.45168855534709196,"[79, 14, 39]","[25, 27, 24]","[24, 11, 25]",19.88637399673462
6,9.93844170297569e-05,0.6354360809212967,0.8123815019371857,268,0.6246324995309128,0.47761194029850745,0.45640616693248276,0.4552321035901912,0.6229,0.6583,0.5927,0.5227,0.5132,0.3333,132,76,60,1.4031386375427246,0.4545028142589118,"[69, 26, 37]","[25, 39, 12]","[30, 10, 20]",20.22256064414978
7,9.911436253643445e-05,0.5833686600316338,0.8488170802077323,268,0.644749533393593,0.458955223880597,0.44165337586390213,0.4279180302321957,0.6424,0.6833,0.6085,0.4697,0.6053,0.25,132,76,60,1.397829532623291,0.4441838649155722,"[62, 40, 30]","[15, 46, 15]","[21, 24, 15]",20.04007363319397
8,9.879583809693738e-05,0.5463436102495672,0.8791525842881873,268,0.6486949096977154,0.5223880597014925,0.46943115364168,0.4575173576126184,0.6527,0.7107,0.5826,0.6364,0.6053,0.1667,132,76,60,1.3996825218200684,0.49530956848030017,"[84, 31, 17]","[22, 46, 8]","[34, 16, 10]",20.384289264678955
9,9.842915805643157e-05,0.5060136156850219,0.9074272524936114,268,0.6213809888297118,0.5,0.4531632110579478,0.46197359762971385,0.6034,0.6841,0.5767,0.6288,0.4474,0.2833,132,76,60,1.4391945600509644,0.4652908067542214,"[83, 13, 36]","[26, 34, 16]","[36, 7, 17]",20.195286750793457
10,9.801468428384717e-05,0.49031660718149783,0.9180611656087709,268,0.6269021559365987,0.48507462686567165,0.4496012759170654,0.45317463330411695,0.6127,0.687,0.581,0.5909,0.4079,0.35,132,76,60,1.368629813194275,0.4643527204502814,"[78, 18, 36]","[28, 31, 17]","[31, 8, 21]",20.02625823020935
11,9.75528258147577e-05,0.46496466310485535,0.9349600197840244,268,0.6009650923229678,0.4701492537313433,0.42036150983519405,0.4170382757339279,0.5904,0.6626,0.5499,0.5909,0.4868,0.1833,132,76,60,1.4292900562286377,0.4535647279549719,"[78, 30, 24]","[30, 37, 9]","[36, 13, 11]",20.035567045211792
12,9.70440384477113e-05,0.4519541473677974,0.9425438958041381,268,0.609192215754232,0.4291044776119403,0.4387293992557151,0.4213887711852808,0.6186,0.6466,0.5623,0.3864,0.5132,0.4167,132,76,60,1.6802982091903687,0.4146341463414634,"[51, 39, 42]","[17, 39, 20]","[18, 17, 25]",20.359308004379272
13,9.64888242944126e-05,0.43651578986687,0.9524359080042866,268,0.6455159571573078,0.5373134328358209,0.49356725146198827,0.4979164209615914,0.6516,0.6636,0.6214,0.6667,0.4474,0.3667,132,76,60,1.4210633039474487,0.4920262664165103,"[88, 19, 25]","[27, 34, 15]","[31, 7, 22]",20.128441333770752
14,9.588773128419907e-05,0.4247768742658272,0.9606792515044101,268,0.6154852285657239,0.40671641791044777,0.433625730994152,0.41303071791499085,0.591,0.6944,0.5611,0.3333,0.4342,0.5333,132,76,60,1.6596705913543701,0.4151031894934334,"[44, 19, 69]","[17, 33, 26]","[19, 9, 32]",19.858587741851807
15,9.5241352623301e-05,0.41753094312865796,0.966202291649493,268,0.6439288018912632,0.5223880597014925,0.46390217969165337,0.4681293079508189,0.6523,0.6804,0.5991,0.697,0.3947,0.3,132,76,60,1.2887972593307495,0.5004690431519699,"[92, 19, 21]","[34, 30, 12]","[33, 9, 18]",19.983915328979492
16,9.455032620941843e-05,0.40999460318605224,0.9708185640095622,268,0.6433366413750508,0.4664179104477612,0.41294524189261034,0.4079641532471721,0.6341,0.6896,0.6062,0.5985,0.4737,0.1667,132,76,60,1.3125141859054565,0.4723264540337711,"[79, 30, 23]","[29, 36, 11]","[33, 17, 10]",20.275909185409546
17,9.381533400219321e-05,0.4012353262045586,0.9760943038496415,268,0.6303093261442719,0.5074626865671642,0.42163742690058476,0.41328702263255596,0.6376,0.6624,0.5909,0.75,0.3816,0.1333,132,76,60,1.2632935047149658,0.49343339587242024,"[99, 21, 12]","[39, 29, 8]","[39, 13, 8]",19.683563947677612
18,9.303710135019722e-05,0.3903954905046987,0.9811227433847168,268,0.6469505500948999,0.5447761194029851,0.49930887825624665,0.5024650654485621,0.6442,0.6886,0.6081,0.6742,0.4737,0.35,132,76,60,1.292141079902649,0.49530956848030017,"[89, 23, 20]","[29, 36, 11]","[27, 12, 21]",19.899821519851685
19,9.22163962751008e-05,0.38726881607555025,0.9817822108647267,268,0.6369535228595794,0.5074626865671642,0.47357788410419993,0.4737216237040993,0.6166,0.674,0.6203,0.5909,0.5132,0.3167,132,76,60,1.3713117837905884,0.47138836772983117,"[78, 26, 28]","[25, 39, 12]","[30, 11, 19]",20.07955312728882
20,9.135402871372814e-05,0.38213713349321987,0.9848322479597725,268,0.6237612622263358,0.5261194029850746,0.46105794790005317,0.468743179269495,0.6195,0.6706,0.5812,0.7121,0.4211,0.25,132,76,60,1.2829890251159668,0.4849906191369606,"[94, 11, 27]","[32, 32, 12]","[38, 7, 15]",19.95921540260315
21,9.045084971874742e-05,0.38000831418473335,0.9849971148297749,268,0.6311824973057557,0.5111940298507462,0.439792663476874,0.44290385461862547,0.6203,0.6663,0.607,0.7273,0.3421,0.25,132,76,60,1.2787195444107056,0.48827392120075047,"[96, 14, 22]","[39, 26, 11]","[37, 8, 15]",20.272218704223633
22,8.950775061878456e-05,0.3751592317719067,0.9875525513148133,268,0.6359664627490673,0.503731343283582,0.4563795853269537,0.4568646952752912,0.6299,0.6726,0.6054,0.6288,0.4737,0.2667,132,76,60,1.28725004196167,0.46622889305816134,"[83, 26, 23]","[27, 36, 13]","[31, 13, 16]",20.195266723632812
23,8.852566213878951e-05,0.3713874191121919,0.9889539197098343,268,0.6322916760634447,0.5074626865671642,0.46241360978203083,0.46750494545312105,0.6267,0.651,0.6192,0.6364,0.4342,0.3167,132,76,60,1.2687143087387085,0.47607879924953095,"[84, 18, 30]","[30, 33, 13]","[33, 8, 19]",20.186936855316162
24,8.750555348152303e-05,0.36677593658550406,0.9904377215398565,268,0.6421494298937217,0.5335820895522388,0.48540669856459334,0.4805644591992653,0.6359,0.7052,0.5853,0.6439,0.5789,0.2333,132,76,60,1.2750470638275146,0.49390243902439024,"[85, 26, 21]","[25, 44, 7]","[29, 17, 14]",19.854515314102173
25,8.644843137107063e-05,0.36639516495703156,0.9901904212348529,268,0.6242456680101803,0.5074626865671642,0.42094630515683146,0.4187598961895571,0.6204,0.6857,0.5666,0.7576,0.3553,0.15,132,76,60,1.2293964624404907,0.49577861163227016,"[100, 13, 19]","[38, 27, 11]","[43, 8, 9]",19.876694679260254
26,8.535533905932742e-05,0.35979477455743547,0.9927458577198912,268,0.6441243939454079,0.5298507462686567,0.47336523125996816,0.478505291005291,0.6447,0.706,0.5817,0.6894,0.4474,0.2833,132,76,60,1.2426352500915527,0.5028142589118199,"[91, 17, 24]","[31, 34, 11]","[34, 9, 17]",20.02237868309021
27,8.422735529643448e-05,0.3610846485115613,0.9912620558898689,268,0.6282747432950607,0.5186567164179104,0.4383040935672515,0.43711968092273695,0.6303,0.6663,0.5882,0.75,0.3816,0.1833,132,76,60,1.2178540229797363,0.4981238273921201,"[99, 17, 16]","[41, 29, 6]","[38, 11, 11]",20.188215970993042
28,8.306559326618263e-05,0.36094385156056796,0.9921688236748826,268,0.6427282394677905,0.5223880597014925,0.44779372674109513,0.4422307219174008,0.6547,0.6798,0.5937,0.7197,0.4737,0.15,132,76,60,1.221094012260437,0.4915572232645403,"[95, 22, 15]","[29, 36, 11]","[39, 12, 9]",20.100743055343628
29,8.187119948743452e-05,0.354794510512839,0.9938174923749072,268,0.6191246551758355,0.5298507462686567,0.42286018075491755,0.41001541635951755,0.6287,0.6562,0.5725,0.8712,0.1974,0.2,132,76,60,1.3114299774169922,0.49906191369606,"[115, 5, 12]","[51, 15, 10]","[46, 2, 12]",20.030900478363037
30,8.064535268264887e-05,0.35423913134479845,0.9953012942049295,268,0.659957173620583,0.5410447761194029,0.4821105794790006,0.48735395251413555,0.6588,0.6792,0.6419,0.7121,0.4342,0.3,132,76,60,1.2465981245040894,0.4878048780487805,"[94, 16, 22]","[28, 33, 15]","[34, 8, 18]",20.021226406097412
31,7.938926261462371e-05,0.3535850172079796,0.9939823592449097,268,0.6491674229193579,0.5111940298507462,0.45026581605528976,0.4537700324428991,0.6532,0.6689,0.6254,0.6894,0.3947,0.2667,132,76,60,1.2253022193908691,0.4971857410881801,"[91, 19, 22]","[35, 30, 11]","[34, 10, 16]",20.067224264144897
32,7.810416889260659e-05,0.3502541107235595,0.995466161074932,268,0.6496567751671273,0.4962686567164179,0.4606858054226475,0.46335276045902224,0.638,0.6813,0.6297,0.6136,0.3684,0.4,132,76,60,1.2963944673538208,0.4812382739212008,"[81, 14, 37]","[29, 28, 19]","[30, 6, 24]",20.196220874786377
