epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_val_loss,val_val_acc_slice,val_confusion_0,val_confusion_1,val_confusion_2,seconds
1,0.0001,0.8086747344097766,0.8018300222570275,268,0.9874533931377822,0.9253731343283582,0.9491483462071697,0.9292595395188091,0.9842,1.0,0.9781,0.8676,1.0,0.9798,136,33,99,0.45954567193984985,0.8930581613508443,"[118, 3, 15]","[0, 33, 0]","[1, 1, 97]",24.355387926101685
2,9.997532801828658e-05,0.6788420742828292,0.9146813947737202,268,0.995815528779811,0.9253731343283582,0.9424143394731631,0.9319952152804919,0.9955,0.9996,0.9923,0.8676,0.9697,0.9899,136,33,99,0.41561082005500793,0.9090056285178236,"[118, 1, 17]","[0, 32, 1]","[0, 1, 98]",20.38180637359619
3,9.990133642141359e-05,0.6366622782669401,0.9439452641991591,268,0.9823564420560666,0.8432835820895522,0.8970588235294118,0.8600706057227797,0.9831,0.999,0.965,0.6912,1.0,1.0,136,33,99,0.6322545409202576,0.8198874296435272,"[94, 6, 36]","[0, 33, 0]","[0, 0, 99]",20.343821048736572
4,9.977809823015401e-05,0.6142090286507708,0.958865715934383,268,0.9955473471274473,0.9664179104477612,0.9666270548623489,0.9666270548623489,0.9945,0.9999,0.9922,0.9706,0.9697,0.9596,136,33,99,0.29770785570144653,0.9582551594746717,"[132, 1, 3]","[0, 32, 1]","[4, 0, 95]",20.039685487747192
5,9.960573506572391e-05,0.5959088463311969,0.9714780314895721,268,0.9956462080150345,0.8992537313432836,0.9176074470192117,0.9157573867968135,0.9949,0.9994,0.9927,0.8235,0.9394,0.9899,136,33,99,0.4772599935531616,0.8869606003752345,"[112, 0, 24]","[0, 31, 2]","[1, 0, 98]",20.25483512878418
6,9.93844170297569e-05,0.5872096233951241,0.975929436979639,268,0.9747336096185619,0.832089552238806,0.8667557932263814,0.8615290238478645,0.9898,0.9773,0.9571,0.6912,0.9091,1.0,136,33,99,0.677359938621521,0.7936210131332082,"[94, 0, 42]","[0, 30, 3]","[0, 0, 99]",20.23908495903015
7,9.911436253643445e-05,0.5813224351609513,0.9802159755997032,268,0.9954344612150042,0.9477611940298507,0.9571202218261042,0.9560467629433148,0.9928,1.0,0.9935,0.9118,0.9697,0.9899,136,33,99,0.3570863604545593,0.9479362101313321,"[124, 0, 12]","[0, 32, 1]","[1, 0, 98]",19.951339960098267
8,9.879583809693738e-05,0.5728590410801871,0.9855741488747836,268,0.9933493899093927,0.9440298507462687,0.9555852644087938,0.9533097611708814,0.9956,0.9933,0.9912,0.8971,0.9697,1.0,136,33,99,0.374744176864624,0.9315196998123827,"[122, 0, 14]","[0, 32, 1]","[0, 0, 99]",19.905322074890137
9,9.842915805643157e-05,0.565785543944749,0.9882944522298244,268,0.9961466753039151,0.9216417910447762,0.9311249752426223,0.9300108932461874,0.9921,1.0,0.9963,0.9853,1.0,0.8081,136,33,99,0.4068152904510498,0.9174484052532833,"[134, 1, 1]","[0, 33, 0]","[18, 1, 80]",19.966158866882324
10,9.801468428384717e-05,0.567048369428015,0.9879647184898195,268,0.9871739324318268,0.8768656716417911,0.8971330956625074,0.8441798067541623,0.9865,0.9973,0.9778,0.9338,1.0,0.7576,136,33,99,0.5203803777694702,0.8714821763602252,"[127, 8, 1]","[0, 33, 0]","[9, 15, 75]",19.831238508224487
11,9.75528258147577e-05,0.5656114194135892,0.9889539197098343,268,0.9978843429069674,0.9626865671641791,0.9745741731035849,0.9641550879834453,0.9969,1.0,0.9968,0.9338,1.0,0.9899,136,33,99,0.36003729701042175,0.949343339587242,"[127, 1, 8]","[0, 33, 0]","[0, 1, 98]",20.0548152923584
12,9.70440384477113e-05,0.5649156860522628,0.9905201549748578,268,0.9927606645794044,0.8805970149253731,0.9130025747672806,0.8982310205987574,0.9915,0.9945,0.9923,0.7794,0.9697,0.9899,136,33,99,0.5217218995094299,0.8649155722326454,"[106, 1, 29]","[0, 32, 1]","[0, 1, 98]",20.21194314956665
