epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
1,0.0001,1.1757100341835918,0.41995841995842,99,0.5178542400131894,0.35353535353535354,0.3496686159844055,0.3232763176192463,0.4938,0.5203,0.5395,0.6111,0.1579,0.28,36,38,25,"[22, 2, 12]","[25, 6, 7]","[17, 1, 7]",1.492926836013794,0.3463969658659924,14.582019567489624
2,9.997532801828658e-05,1.0550511535712859,0.510155125539741,99,0.5159302530820122,0.31313131313131315,0.28362573099415206,0.2222222222222222,0.4793,0.5112,0.5573,0.6667,0.1842,0.0,36,38,25,"[24, 11, 1]","[30, 7, 1]","[18, 7, 0]",1.4667317867279053,0.3274336283185841,10.816685438156128
3,9.990133642141359e-05,0.9132532009635375,0.6118663041739965,99,0.5134342159517119,0.3333333333333333,0.36635477582846,0.32679965726560706,0.4347,0.572,0.5335,0.2222,0.2368,0.64,36,38,25,"[8, 5, 23]","[12, 9, 17]","[6, 3, 16]",1.6615266799926758,0.32364096080910243,10.829063177108765
4,9.977809823015401e-05,0.7990934663861347,0.6945466176235408,99,0.5516309286264228,0.35353535353535354,0.3568421052631579,0.3430402930402931,0.4903,0.6143,0.5503,0.5,0.2105,0.36,36,38,25,"[18, 4, 14]","[22, 8, 8]","[14, 2, 9]",1.6014708280563354,0.36788874841972186,10.58306360244751
5,9.960573506572391e-05,0.7094339248410763,0.7639533024148408,99,0.5191064962822225,0.31313131313131315,0.31719298245614036,0.2933003458759524,0.4894,0.5414,0.5265,0.5,0.1316,0.32,36,38,25,"[18, 5, 13]","[20, 5, 13]","[11, 6, 8]",1.7852065563201904,0.3185840707964602,10.837177276611328
6,9.93844170297569e-05,0.6349747433731808,0.8120901967055814,99,0.47645165208486073,0.2828282828282828,0.2853411306042885,0.26824319471378294,0.4634,0.4978,0.4681,0.4444,0.1316,0.28,36,38,25,"[16, 7, 13]","[27, 5, 6]","[12, 6, 7]",1.802022933959961,0.33754740834386854,10.757570028305054
7,9.911436253643445e-05,0.5703681764003279,0.8584679353910123,99,0.555260250732401,0.37373737373737376,0.35662768031189085,0.3523985013205577,0.593,0.5949,0.4778,0.5278,0.3421,0.2,36,38,25,"[19, 7, 10]","[15, 13, 10]","[11, 9, 5]",1.633222222328186,0.36788874841972186,10.741978645324707
8,9.879583809693738e-05,0.5338808075248881,0.8802174956021109,99,0.6085063308100409,0.42424242424242425,0.42183235867446395,0.41971179505426076,0.631,0.6027,0.5919,0.4444,0.4211,0.4,36,38,25,"[16, 9, 11]","[13, 16, 9]","[8, 7, 10]",1.5221470594406128,0.4247787610619469,10.70832633972168
9,9.842915805643157e-05,0.5045365724452263,0.8984487446025907,99,0.5404529112428643,0.3838383838383838,0.3740350877192982,0.3753939099626911,0.4925,0.5953,0.5335,0.5,0.3421,0.28,36,38,25,"[18, 8, 10]","[21, 13, 4]","[16, 2, 7]",1.6954537630081177,0.38305941845764857,10.726942300796509
10,9.801468428384717e-05,0.4778667177254918,0.9173196865504558,99,0.5499812671320677,0.41414141414141414,0.3957894736842105,0.3970184404967014,0.5697,0.61,0.4703,0.5,0.4474,0.24,36,38,25,"[18, 5, 13]","[13, 17, 8]","[10, 9, 6]",1.602524995803833,0.3906447534766119,10.709745407104492
