run,dataset,model,best_epoch,epochs_run,val_auc,test_auc,test_acc,test_bal,baseline,n_test
CCHALF_FREEZE_R18_s1,multi_subtype_80mm_chanclip,resnet18,26,56,0.661,0.5574,0.4701,0.3831,0.5112,268
CCHALF_FREEZE_R18_s42,multi_subtype_80mm_chanclip,resnet18,3,33,0.6623,0.5994,0.4216,0.3897,0.5112,268
CCHALF_R18_s1,multi_subtype_80mm_chanclip,resnet18,18,48,0.6567,0.5545,0.4664,0.3998,0.5112,268
CCHALF_R18_s42,multi_subtype_80mm_chanclip,resnet18,59,89,0.6437,0.5815,0.4963,0.4211,0.5112,268
CC_R18_s1,multi_subtype_80mm_chanclip,resnet18,1,31,0.6723,0.5953,0.3731,0.4067,0.5112,268
CC_R18_s42,multi_subtype_80mm_chanclip,resnet18,4,34,0.6735,0.5707,0.5,0.4082,0.5112,268
FREEZE_R18_s1,multi_subtype_80mm,resnet18,1,31,0.6572,0.6178,0.4179,0.3984,0.5112,268
FREEZE_R18_s42,multi_subtype_80mm,resnet18,5,35,0.655,0.614,0.4552,0.402,0.5112,268
PAPER_her2_r18_s42,paper_her2,resnet18,1,31,0.6113,0.4351,0.2761,0.4564,0.8022,268
PAPER_her2_vit_s42,paper_her2,vit_mae_base,3,33,0.5817,0.5904,0.4739,0.537,0.8022,268
PAPER_pcr_r18_s42,paper_pcr,resnet18,28,58,0.5793,0.5667,0.6023,0.5168,0.6989,176
PAPER_pcr_vit_s42,paper_pcr,vit_mae_base,65,95,0.5898,0.5324,0.642,0.4969,0.6989,176
PAPER_subtype_r18_s42,paper_subtype,resnet18,68,98,0.6547,0.6153,0.5037,0.4147,0.5112,268
PAPER_subtype_vit_s42,paper_subtype,vit_mae_base,2,32,0.6722,0.6298,0.5336,0.4708,0.5112,268
R18_s1,multi_subtype_80mm,resnet18,2,32,0.6867,0.5894,0.403,0.4098,0.5112,268
R18_s42,multi_subtype_80mm,resnet18,5,35,0.6748,0.6263,0.541,0.4238,0.5112,268
R50_s1,multi_subtype_80mm,resnet50,1,31,0.6612,0.6168,0.3545,0.4252,0.5112,268
R50_s42,multi_subtype_80mm,resnet50,67,97,0.6852,0.592,0.5187,0.4237,0.5112,268
SONDA_r18,multi_subtype_80mm_SOURCEPROBE,resnet18,42,72,0.9999,0.9978,0.9813,0.9801,0.5075,268
SPY2_R18_s1,spy2only_80mm,resnet18,8,38,0.6081,0.5758,0.4141,0.4061,0.404,99
SPY2_R18_s42,spy2only_80mm,resnet18,2,32,0.59,0.5916,0.5152,0.4895,0.404,99
