round,site,n_train_patients,n_train_slices,lr,train_loss,train_acc,post_val_acc,post_val_bal_acc,post_val_auc,post_val_macro_f1,seconds
0,centralized,1527,12131,1.000000e-04,1.150225,0.436980,0.48507462686567165,0.3811270600744285,0.6364199681682267,0.36586310176053766,11.5
1,centralized,1527,12131,9.755283e-05,1.018863,0.533592,0.4626865671641791,0.4149388623072834,0.6047298042944328,0.40342268658744046,9.2
2,centralized,1527,12131,9.045085e-05,0.900322,0.623114,0.3805970149253731,0.3858054226475279,0.6036560401135672,0.3507513429719728,8.9
3,centralized,1527,12131,7.938926e-05,0.799008,0.695573,0.44776119402985076,0.4162147793726741,0.6262036069795358,0.41640361952861954,8.7
4,centralized,1527,12131,6.545085e-05,0.704110,0.766466,0.5597014925373134,0.5117490696438065,0.6591711932825516,0.5167153017852839,8.9
5,centralized,1527,12131,5.000000e-05,0.630424,0.816668,0.48134328358208955,0.47270069112174373,0.6386541517370659,0.4639411021662488,8.8
6,centralized,1527,12131,3.454915e-05,0.572173,0.857473,0.48507462686567165,0.4458798511430091,0.6310602546211099,0.44780694453773,8.6
7,centralized,1527,12131,2.061074e-05,0.535306,0.883274,0.4664179104477612,0.4267145135566188,0.6338860593311058,0.4273425960716229,8.5
8,centralized,1527,12131,9.549150e-06,0.509650,0.905449,0.4925373134328358,0.4330143540669857,0.6336612526942442,0.43645254252345395,8.4
9,centralized,1527,12131,2.447174e-06,0.494613,0.913362,0.5186567164179104,0.4501594896331739,0.6447520442126673,0.44354638919856315,8.1
