round,site,n_train_patients,n_train_slices,lr,train_loss,train_acc,post_val_acc,post_val_bal_acc,post_val_auc,post_val_macro_f1,seconds
0,centralized,1527,12131,1.000000e-04,1.155710,0.433517,0.4925373134328358,0.42392344497607654,0.6423776531990542,0.42252116530221384,15.4
1,centralized,1527,12131,9.755283e-05,1.024621,0.530047,0.4216417910447761,0.41257309941520465,0.6316165250835336,0.385752688172043,13.2
2,centralized,1527,12131,9.045085e-05,0.901050,0.629462,0.3843283582089552,0.3985911749069644,0.6251941186393585,0.3644269333607569,13.2
3,centralized,1527,12131,7.938926e-05,0.785740,0.706784,0.4664179104477612,0.4712121212121212,0.6575991555529094,0.45767607254304643,13.2
4,centralized,1527,12131,6.545085e-05,0.683444,0.782128,0.5261194029850746,0.4727006911217437,0.6581954919972528,0.4740043443356268,13.2
5,centralized,1527,12131,5.000000e-05,0.596561,0.842470,0.5,0.48623072833599146,0.6378577109057952,0.4784885471153135,13.1
6,centralized,1527,12131,3.454915e-05,0.538787,0.885253,0.5074626865671642,0.44587985114300904,0.6373702793594435,0.4493989365172572,13.0
7,centralized,1527,12131,2.061074e-05,0.496680,0.912950,0.4925373134328358,0.47676767676767673,0.6304602271223789,0.47207719258754405,13.2
8,centralized,1527,12131,9.549150e-06,0.463671,0.934630,0.5261194029850746,0.46690590111642744,0.6374109542525757,0.4719120598430943,12.9
9,centralized,1527,12131,2.447174e-06,0.451946,0.944852,0.5111940298507462,0.4609516214779373,0.6405843138307342,0.4594367771496139,13.1
