experiment,name,kind,algorithm,n_clients,partition,n_test,baseline,seed,model_used,best_epoch,test_auc,test_acc,test_bal,test_macro_f1,per_class_recall
test06,test06_fedavg_4h,federated,fedavg,4,4_clients_balanced,268,0.5112,42,selected,,0.6531,0.4776,0.4522,0.4378,"[0.5839, 0.2821, 0.4906]"
test09,test09_fedprox_skewed,federated,fedprox,4,4_clients_skewed,268,0.5112,42,selected,,0.625,0.4515,0.421,0.4197,"[0.5328, 0.3718, 0.3585]"
test07,test07_fedprox_4h,federated,fedprox,4,4_clients_balanced,268,0.5112,42,selected,,0.6075,0.4739,0.4393,0.4362,"[0.562, 0.3974, 0.3585]"
test01,test01_centralized,centralized,-,1,-,268,0.5112,42,selected,4.0,0.6069,0.5299,0.4503,0.4523,"[0.7007, 0.4615, 0.1887]"
test04,test04_fedavg_3h,federated,fedavg,3,3_clients_balanced,268,0.5112,42,selected,,0.599,0.4851,0.4198,0.4231,"[0.6423, 0.3718, 0.2453]"
test08,test08_fedavg_skewed,federated,fedavg,4,4_clients_skewed,268,0.5112,42,selected,,0.5982,0.4888,0.4259,0.4292,"[0.635, 0.3974, 0.2453]"
test05,test05_fedprox_3h,federated,fedprox,3,3_clients_balanced,268,0.5112,42,selected,,0.5958,0.459,0.4127,0.4116,"[0.5839, 0.3333, 0.3208]"
test03,test03_fedprox_2h,federated,fedprox,2,2_clients_balanced,268,0.5112,42,selected,,0.5917,0.4328,0.4025,0.4001,"[0.4818, 0.4615, 0.2642]"
test13,test13_fedprox_sizematched,federated,fedprox,3,3_clients_sizematched,268,0.5112,42,selected,,0.5882,0.4664,0.3885,0.3884,"[0.6496, 0.3462, 0.1698]"
test12,test12_fedavg_sizematched,federated,fedavg,3,3_clients_sizematched,268,0.5112,42,selected,,0.5836,0.4478,0.4183,0.4153,"[0.5109, 0.4231, 0.3208]"
test11,test11_fedprox_cohort,federated,fedprox,3,3_clients_cohort,268,0.5112,42,selected,,0.5678,0.459,0.4105,0.4144,"[0.5766, 0.3718, 0.283]"
test02,test02_fedavg_2h,federated,fedavg,2,2_clients_balanced,268,0.5112,42,selected,,0.5594,0.403,0.3742,0.3744,"[0.4745, 0.3462, 0.3019]"
test10,test10_fedavg_cohort,federated,fedavg,3,3_clients_cohort,268,0.5112,42,selected,,0.5426,0.4291,0.3582,0.3536,"[0.5766, 0.3846, 0.1132]"
