scope,partition,site,split,patients,images,trivial_baseline,patients_HRposHER2neg,patients_TripleNeg,patients_HER2pos,pct_HRposHER2neg,pct_TripleNeg,pct_HER2pos
global,-,global_test,test,268,2115,0.5111940298507462,137,78,53,,,
global,-,global_val,val,268,2132,0.4925373134328358,132,76,60,,,
site,2_clients_balanced,hospital_1,train,612,4870,,310,164,138,50.7,26.8,22.5
site,2_clients_balanced,hospital_1,val,152,1214,,77,41,34,50.7,27.0,22.4
site,2_clients_balanced,hospital_2,train,611,4849,,309,164,138,50.6,26.8,22.6
site,2_clients_balanced,hospital_2,val,152,1198,,77,41,34,50.7,27.0,22.4
site,3_clients_balanced,hospital_1,train,408,3245,,206,110,92,50.5,27.0,22.5
site,3_clients_balanced,hospital_1,val,102,816,,52,27,23,51.0,26.5,22.5
site,3_clients_balanced,hospital_2,train,408,3249,,206,110,92,50.5,27.0,22.5
site,3_clients_balanced,hospital_2,val,102,814,,52,27,23,51.0,26.5,22.5
site,3_clients_balanced,hospital_3,train,406,3206,,206,109,91,50.7,26.8,22.4
site,3_clients_balanced,hospital_3,val,101,801,,51,27,23,50.5,26.7,22.8
site,4_clients_balanced,hospital_1,train,306,2439,,155,82,69,50.7,26.8,22.5
site,4_clients_balanced,hospital_1,val,77,614,,39,21,17,50.6,27.3,22.1
site,4_clients_balanced,hospital_2,train,305,2423,,154,82,69,50.5,26.9,22.6
site,4_clients_balanced,hospital_2,val,77,616,,39,21,17,50.6,27.3,22.1
site,4_clients_balanced,hospital_3,train,305,2426,,154,82,69,50.5,26.9,22.6
site,4_clients_balanced,hospital_3,val,76,608,,39,20,17,51.3,26.3,22.4
site,4_clients_balanced,hospital_4,train,305,2399,,154,82,69,50.5,26.9,22.6
site,4_clients_balanced,hospital_4,val,76,606,,39,20,17,51.3,26.3,22.4
site,4_clients_skewed,hospital_1,train,678,5395,,343,182,153,50.6,26.8,22.6
site,4_clients_skewed,hospital_1,val,170,1358,,86,46,38,50.6,27.1,22.4
site,4_clients_skewed,hospital_2,train,273,2171,,138,73,62,50.5,26.7,22.7
site,4_clients_skewed,hospital_2,val,67,534,,34,18,15,50.7,26.9,22.4
site,4_clients_skewed,hospital_3,train,136,1073,,69,37,30,50.7,27.2,22.1
site,4_clients_skewed,hospital_3,val,34,266,,17,9,8,50.0,26.5,23.5
site,4_clients_skewed,hospital_4,train,135,1066,,69,36,30,51.1,26.7,22.2
site,4_clients_skewed,hospital_4,val,34,268,,17,9,8,50.0,26.5,23.5
site,3_clients_cohort,hospital_1,train,514,4067,,341,82,91,66.3,16.0,17.7
site,3_clients_cohort,hospital_1,val,128,1007,,85,20,23,66.4,15.6,18.0
site,3_clients_cohort,hospital_2,train,82,652,,34,22,26,41.5,26.8,31.7
site,3_clients_cohort,hospital_2,val,19,152,,8,5,6,42.1,26.3,31.6
site,3_clients_cohort,hospital_3,train,627,5005,,244,225,158,38.9,35.9,25.2
site,3_clients_cohort,hospital_3,val,157,1248,,61,56,40,38.9,35.7,25.5
site,3_clients_sizematched,hospital_1,train,514,4096,,260,138,116,50.6,26.8,22.6
site,3_clients_sizematched,hospital_1,val,128,1020,,65,34,29,50.8,26.6,22.7
site,3_clients_sizematched,hospital_2,train,81,640,,41,22,18,50.6,27.2,22.2
site,3_clients_sizematched,hospital_2,val,20,160,,10,5,5,50.0,25.0,25.0
site,3_clients_sizematched,hospital_3,train,628,4976,,318,169,141,50.6,26.9,22.5
site,3_clients_sizematched,hospital_3,val,156,1239,,79,42,35,50.6,26.9,22.4
