experiment,name,algorithm,n_hospitals,partition,data_split,accuracy,macro_precision,macro_recall,macro_f1,macro_auc,best_epoch,best_round,training_time_s,reference,reference_macro_auc,delta_macro_auc,within_noise_floor
test02,test02_fedavg_2h,fedavg,2,2_clients_balanced,"2 hospitals, balanced (50/50)  ->  50.0% / 50.0%",0.403,0.3915,0.3742,0.3744,0.5594,,25.0,313.0,FedAvg (mean over configurations),0.5893,-0.0299,True
test04,test04_fedavg_3h,fedavg,3,3_clients_balanced,"3 hospitals, balanced (33.3 each)  ->  33.3% / 33.3% / 33.3%",0.4851,0.4333,0.4198,0.4231,0.599,,27.0,313.0,FedAvg (mean over configurations),0.5893,0.0097,True
test06,test06_fedavg_4h,fedavg,4,4_clients_balanced,"4 hospitals, balanced (25 each)  ->  25.0% / 25.0% / 25.0% / 25.0%",0.4776,0.4646,0.4522,0.4378,0.6531,,0.0,317.0,FedAvg (mean over configurations),0.5893,0.0638,True
test08,test08_fedavg_skewed,fedavg,4,4_clients_skewed,"4 hospitals, skewed 5:2:1:1 (dissertation: 50/20/10/10)  ->  55.6% / 22.2% / 11.1% / 11.1%",0.4888,0.4374,0.4259,0.4292,0.5982,,21.0,323.0,FedAvg (mean over configurations),0.5893,0.0089,True
test10,test10_fedavg_cohort,fedavg,3,3_clients_cohort,"3 hospitals, one cohort each (DUKE | I-SPY1 | I-SPY2)  ->  42.0% / 6.6% / 51.3%",0.4291,0.3523,0.3582,0.3536,0.5426,,7.0,469.0,FedAvg (mean over configurations),0.5893,-0.0467,True
test12,test12_fedavg_sizematched,fedavg,3,3_clients_sizematched,"3 hospitals, cohorts mixed, sizes matched to 3_clients_cohort  ->  42.0% / 6.6% / 51.3%",0.4478,0.4187,0.4183,0.4153,0.5836,,17.0,471.0,FedAvg (mean over configurations),0.5893,-0.0057,True
test03,test03_fedprox_2h,fedprox,2,2_clients_balanced,"2 hospitals, balanced (50/50)  ->  50.0% / 50.0%",0.4328,0.4028,0.4025,0.4001,0.5917,,29.0,351.0,FedAvg (mean over configurations),0.5893,0.0024,True
test05,test05_fedprox_3h,fedprox,3,3_clients_balanced,"3 hospitals, balanced (33.3 each)  ->  33.3% / 33.3% / 33.3%",0.459,0.4208,0.4127,0.4116,0.5958,,28.0,333.0,FedAvg (mean over configurations),0.5893,0.0065,True
test07,test07_fedprox_4h,fedprox,4,4_clients_balanced,"4 hospitals, balanced (25 each)  ->  25.0% / 25.0% / 25.0% / 25.0%",0.4739,0.4389,0.4393,0.4362,0.6075,,0.0,335.0,FedAvg (mean over configurations),0.5893,0.0182,True
test09,test09_fedprox_skewed,fedprox,4,4_clients_skewed,"4 hospitals, skewed 5:2:1:1 (dissertation: 50/20/10/10)  ->  55.6% / 22.2% / 11.1% / 11.1%",0.4515,0.4365,0.421,0.4197,0.625,,2.0,387.0,FedAvg (mean over configurations),0.5893,0.0357,True
test11,test11_fedprox_cohort,fedprox,3,3_clients_cohort,"3 hospitals, one cohort each (DUKE | I-SPY1 | I-SPY2)  ->  42.0% / 6.6% / 51.3%",0.459,0.4302,0.4105,0.4144,0.5678,,16.0,482.0,FedAvg (mean over configurations),0.5893,-0.0215,True
test13,test13_fedprox_sizematched,fedprox,3,3_clients_sizematched,"3 hospitals, cohorts mixed, sizes matched to 3_clients_cohort  ->  42.0% / 6.6% / 51.3%",0.4664,0.3925,0.3885,0.3884,0.5882,,27.0,485.0,FedAvg (mean over configurations),0.5893,-0.0011,True
