experiment,name,algorithm,partition,site,status,detail,n_train_patients,n_train_images,n_val_patients,n_val_images,val_patients_HRposHER2neg,val_patients_TripleNeg,val_patients_HER2pos,trivial_baseline,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc,auc_HRposHER2neg,auc_TripleNeg,auc_HER2pos,precision_HRposHER2neg,precision_TripleNeg,precision_HER2pos,recall_HRposHER2neg,recall_TripleNeg,recall_HER2pos,f1_HRposHER2neg,f1_TripleNeg,f1_HER2pos,confusion
test14,test14_fedavg_cohort,fedavg,3_clients_cohort,hospital_1,ok,,514,4067,128,1007,85,20,23,0.6641,0.4531,0.4183,0.4283,0.4183,0.3875,0.617,0.6126,0.5593,0.6791,0.75,0.1818,0.3529,0.4941,0.5,0.2609,0.5957,0.2667,0.3,"[[42, 35, 8], [7, 10, 3], [7, 10, 6]]"
test14,test14_fedavg_cohort,fedavg,3_clients_cohort,hospital_2,ok,,82,652,19,152,8,5,6,0.4211,0.3684,0.3167,0.2205,0.3167,0.2571,0.4794,0.625,0.4286,0.3846,0.4615,0.2,0.0,0.75,0.2,0.0,0.5714,0.2,0.0,"[[6, 2, 0], [3, 1, 1], [4, 2, 0]]"
test14,test14_fedavg_cohort,fedavg,3_clients_cohort,hospital_3,ok,,627,5005,157,1248,61,56,40,0.3885,0.4522,0.4255,0.4444,0.4255,0.4214,0.5804,0.5464,0.6057,0.5891,0.4419,0.5,0.3913,0.623,0.4286,0.225,0.517,0.4615,0.2857,"[[38, 14, 9], [27, 24, 5], [21, 10, 9]]"
test15,test15_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_1,ok,,514,4096,128,1020,65,34,29,0.5078,0.4375,0.4006,0.4029,0.4006,0.3993,0.6345,0.6918,0.6364,0.5754,0.6364,0.3077,0.2647,0.5385,0.3529,0.3103,0.5833,0.3288,0.2857,"[[35, 16, 14], [11, 12, 11], [9, 11, 9]]"
test15,test15_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_2,ok,,81,640,20,160,10,5,5,0.5,0.65,0.6667,0.6444,0.6667,0.653,0.7389,0.67,0.8,0.7467,0.6667,0.6667,0.6,0.6,0.8,0.6,0.6316,0.7273,0.6,"[[6, 2, 2], [1, 4, 0], [2, 0, 3]]"
test15,test15_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_3,ok,,628,4976,156,1239,79,42,35,0.5064,0.4359,0.4047,0.4032,0.4047,0.4023,0.5908,0.5981,0.6122,0.5622,0.5942,0.3404,0.275,0.519,0.381,0.3143,0.5541,0.3596,0.2933,"[[41, 21, 17], [14, 16, 12], [14, 10, 11]]"
test16,test16_fedprox_cohort,fedprox,3_clients_cohort,hospital_1,ok,,514,4067,128,1007,85,20,23,0.6641,0.4375,0.389,0.3773,0.389,0.3641,0.6068,0.6161,0.5588,0.6455,0.7193,0.1562,0.2564,0.4824,0.25,0.4348,0.5775,0.1923,0.3226,"[[41, 22, 22], [8, 5, 7], [8, 5, 10]]"
test16,test16_fedprox_cohort,fedprox,3_clients_cohort,hospital_2,ok,,82,652,19,152,8,5,6,0.4211,0.5263,0.4972,0.4868,0.4972,0.4845,0.6274,0.7386,0.4,0.7436,0.5556,0.3333,0.5714,0.625,0.2,0.6667,0.5882,0.25,0.6154,"[[5, 2, 1], [2, 1, 2], [2, 0, 4]]"
test16,test16_fedprox_cohort,fedprox,3_clients_cohort,hospital_3,ok,,627,5005,157,1248,61,56,40,0.3885,0.4076,0.3834,0.3904,0.3834,0.3728,0.584,0.5545,0.6155,0.5821,0.4286,0.4211,0.3214,0.6393,0.2857,0.225,0.5132,0.3404,0.2647,"[[39, 12, 10], [31, 16, 9], [21, 10, 9]]"
test17,test17_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_1,ok,,514,4096,128,1020,65,34,29,0.5078,0.4922,0.4412,0.4412,0.4412,0.4411,0.6146,0.6647,0.6183,0.5608,0.6308,0.3714,0.3214,0.6308,0.3824,0.3103,0.6308,0.3768,0.3158,"[[41, 13, 11], [13, 13, 8], [11, 9, 9]]"
test17,test17_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_2,ok,,81,640,20,160,10,5,5,0.5,0.75,0.7333,0.7389,0.7333,0.7313,0.7778,0.8,0.8267,0.7067,0.8,0.6667,0.75,0.8,0.8,0.6,0.8,0.7273,0.6667,"[[8, 1, 1], [1, 4, 0], [1, 1, 3]]"
test17,test17_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_3,ok,,628,4976,156,1239,79,42,35,0.5064,0.4167,0.3417,0.3368,0.3417,0.3377,0.6,0.6339,0.595,0.5712,0.5568,0.2683,0.1852,0.6203,0.2619,0.1429,0.5868,0.2651,0.1613,"[[49, 18, 12], [21, 11, 10], [18, 12, 5]]"
