experiment,name,status,datetime,model,dataset,n_hospitals,partition,data_split,algorithm,seed,best_epoch,best_round,training_time_s,training_time_kind,model_used,n_test_patients,trivial_baseline,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc,auc_HRposHER2neg,auc_TripleNeg,auc_HER2pos,f1_HRposHER2neg,f1_TripleNeg,f1_HER2pos,precision_HRposHER2neg,precision_TripleNeg,precision_HER2pos,recall_HRposHER2neg,recall_TripleNeg,recall_HER2pos
test01,test01_centralized,complete,2026-08-03T23:48:43+00:00,resnet18,multi_subtype_80mm,1,-,all data pooled,centralized,42,4.0,,267.6,sum of per-epoch compute,selected,268,0.5112,0.5299,0.4503,0.4606,0.4503,0.4523,0.6068,0.6238,0.6886,0.5079,0.6486,0.5,0.2083,0.6038,0.5455,0.2326,0.7007,0.4615,0.1887
test02,test02_fedavg_2h,complete,2026-08-04T00:17:29+00:00,resnet18,multi_subtype_80mm,2,2_clients_balanced,"2 hospitals, balanced (50/50)  ->  50.0% / 50.0%",fedavg,42,,25.0,313.0,job wall clock (incl. orchestration),selected,268,0.5112,0.403,0.3742,0.3915,0.3742,0.3744,0.5594,0.5569,0.6285,0.4928,0.5179,0.383,0.2222,0.5702,0.4286,0.1758,0.4745,0.3462,0.3019
test03,test03_fedprox_2h,complete,2026-08-04T00:23:45+00:00,resnet18,multi_subtype_80mm,2,2_clients_balanced,"2 hospitals, balanced (50/50)  ->  50.0% / 50.0%",fedprox,42,,29.0,351.0,job wall clock (incl. orchestration),selected,268,0.5112,0.4328,0.4025,0.4028,0.4025,0.4001,0.5917,0.6091,0.6461,0.5199,0.5197,0.4528,0.2276,0.5641,0.4444,0.2,0.4818,0.4615,0.2642
test04,test04_fedavg_3h,complete,2026-08-04T00:29:22+00:00,resnet18,multi_subtype_80mm,3,3_clients_balanced,"3 hospitals, balanced (33.3 each)  ->  33.3% / 33.3% / 33.3%",fedavg,42,,27.0,313.0,job wall clock (incl. orchestration),selected,268,0.5112,0.4851,0.4198,0.4333,0.4198,0.4231,0.599,0.6191,0.6468,0.5311,0.6197,0.4234,0.2261,0.5986,0.4915,0.2097,0.6423,0.3718,0.2453
test05,test05_fedprox_3h,complete,2026-08-04T00:35:20+00:00,resnet18,multi_subtype_80mm,3,3_clients_balanced,"3 hospitals, balanced (33.3 each)  ->  33.3% / 33.3% / 33.3%",fedprox,42,,28.0,333.0,job wall clock (incl. orchestration),selected,268,0.5112,0.459,0.4127,0.4208,0.4127,0.4116,0.5958,0.603,0.6355,0.5488,0.6038,0.3714,0.2595,0.625,0.4194,0.2179,0.5839,0.3333,0.3208
test06,test06_fedavg_4h,complete,2026-08-04T00:41:01+00:00,resnet18,multi_subtype_80mm,4,4_clients_balanced,"4 hospitals, balanced (25 each)  ->  25.0% / 25.0% / 25.0% / 25.0%",fedavg,42,,0.0,317.0,job wall clock (incl. orchestration),selected,268,0.5112,0.4776,0.4522,0.4646,0.4522,0.4378,0.6531,0.6667,0.6845,0.6082,0.6015,0.3607,0.3514,0.6202,0.5,0.2737,0.5839,0.2821,0.4906
test07,test07_fedprox_4h,complete,2026-08-04T00:47:01+00:00,resnet18,multi_subtype_80mm,4,4_clients_balanced,"4 hospitals, balanced (25 each)  ->  25.0% / 25.0% / 25.0% / 25.0%",fedprox,42,,0.0,335.0,job wall clock (incl. orchestration),selected,268,0.5112,0.4739,0.4393,0.4389,0.4393,0.4362,0.6075,0.6066,0.6588,0.5572,0.5833,0.4189,0.3065,0.6063,0.4429,0.2676,0.562,0.3974,0.3585
test08,test08_fedavg_skewed,complete,2026-08-04T00:52:49+00:00,resnet18,multi_subtype_80mm,4,4_clients_skewed,"4 hospitals, skewed 5:2:1:1 (dissertation: 50/20/10/10)  ->  55.6% / 22.2% / 11.1% / 11.1%",fedavg,42,,21.0,323.0,job wall clock (incl. orchestration),selected,268,0.5112,0.4888,0.4259,0.4374,0.4259,0.4292,0.5982,0.6139,0.658,0.5227,0.6127,0.4429,0.2321,0.5918,0.5,0.2203,0.635,0.3974,0.2453
test09,test09_fedprox_skewed,complete,2026-08-04T00:59:41+00:00,resnet18,multi_subtype_80mm,4,4_clients_skewed,"4 hospitals, skewed 5:2:1:1 (dissertation: 50/20/10/10)  ->  55.6% / 22.2% / 11.1% / 11.1%",fedprox,42,,2.0,387.0,job wall clock (incl. orchestration),selected,268,0.5112,0.4515,0.421,0.4365,0.421,0.4197,0.625,0.6394,0.6811,0.5545,0.5594,0.4265,0.2734,0.5887,0.5,0.2209,0.5328,0.3718,0.3585
test10,test10_fedavg_cohort,complete,2026-08-05T01:16:51+00:00,resnet18,multi_subtype_80mm,3,3_clients_cohort,"3 hospitals, one cohort each (DUKE | I-SPY1 | I-SPY2)  ->  42.0% / 6.6% / 51.3%",fedavg,42,,7.0,469.0,job wall clock (incl. orchestration),selected,268,0.5112,0.4291,0.3582,0.3523,0.3582,0.3536,0.5426,0.5473,0.6078,0.4728,0.5563,0.3727,0.1319,0.5374,0.3614,0.1579,0.5766,0.3846,0.1132
test12,test12_fedavg_sizematched,complete,2026-08-05T01:25:10+00:00,resnet18,multi_subtype_80mm,3,3_clients_sizematched,"3 hospitals, cohorts mixed, sizes matched to 3_clients_cohort  ->  42.0% / 6.6% / 51.3%",fedavg,42,,17.0,471.0,job wall clock (incl. orchestration),selected,268,0.5112,0.4478,0.4183,0.4187,0.4183,0.4153,0.5836,0.5923,0.6567,0.5019,0.5447,0.4314,0.2698,0.5833,0.44,0.2329,0.5109,0.4231,0.3208
test11,test11_fedprox_cohort,complete,2026-08-05T01:33:40+00:00,resnet18,multi_subtype_80mm,3,3_clients_cohort,"3 hospitals, one cohort each (DUKE | I-SPY1 | I-SPY2)  ->  42.0% / 6.6% / 51.3%",fedprox,42,,16.0,482.0,job wall clock (incl. orchestration),selected,268,0.5112,0.459,0.4105,0.4302,0.4105,0.4144,0.5678,0.5723,0.6323,0.4988,0.5704,0.4328,0.24,0.5643,0.5179,0.2083,0.5766,0.3718,0.283
