experiment,site,n_val_patients,trivial,accuracy,balanced,macro_f1,macro_auc,recall_HRposHER2neg,auc_HRposHER2neg,recall_TripleNeg,auc_TripleNeg,recall_HER2pos,auc_HER2pos
test02,hospital_1,152,0.506578947368421,0.5526315789473685,0.5293838156105014,0.525925925925926,0.6571930036268726,0.6103896103896104,0.6779220779220779,0.5365853658536586,0.6954515491100857,0.4411764705882353,0.5982053838484546
test02,hospital_2,152,0.506578947368421,0.4342105263157895,0.4122305241387021,0.40775753926438857,0.5785397111919982,0.4935064935064935,0.6148917748917748,0.3902439024390244,0.5559217754339705,0.35294117647058826,0.5648055832502492
test03,hospital_1,152,0.5066,0.4868,0.4583,0.4545,0.6498,0.5584,0.6644,0.4634,0.695,0.3529,0.59
test03,hospital_2,152,0.5066,0.4539,0.4126,0.4117,0.5746,0.5584,0.6386,0.4146,0.5489,0.2647,0.5364
test04,hospital_1,102,0.5098,0.451,0.4108,0.41,0.6307,0.5577,0.6204,0.3704,0.6311,0.3043,0.6406
test04,hospital_2,102,0.5098,0.451,0.4286,0.4231,0.6381,0.5,0.6158,0.4815,0.6558,0.3043,0.6428
test04,hospital_3,101,0.505,0.5347,0.4762,0.4761,0.5986,0.6863,0.6231,0.4815,0.5886,0.2609,0.5842
test05,hospital_1,102,0.5098,0.4608,0.4377,0.4295,0.6529,0.5385,0.6362,0.2963,0.643,0.4783,0.6797
test05,hospital_2,102,0.5098,0.451,0.4308,0.4296,0.6189,0.5,0.64,0.4444,0.6459,0.3478,0.5707
test05,hospital_3,101,0.505,0.5149,0.4573,0.4575,0.6307,0.6667,0.6471,0.4444,0.6446,0.2609,0.6003
test06,hospital_1,77,0.5064935064935064,0.4805194805194805,0.4190907132083603,0.42081225008054274,0.6100764057309832,0.6410256410256411,0.5971659919028339,0.38095238095238093,0.6556122448979591,0.23529411764705882,0.5774509803921568
test06,hospital_2,77,0.5064935064935064,0.4155844155844156,0.34331681390504926,0.34119809729565825,0.5559550675870888,0.6153846153846154,0.5492577597840755,0.23809523809523808,0.5578231292517006,0.17647058823529413,0.5607843137254902
test06,hospital_3,76,0.5131578947368421,0.5394736842105263,0.4515082956259427,0.4521404521404522,0.7026453061286061,0.7692307692307693,0.7165627165627164,0.35,0.6705357142857142,0.23529411764705882,0.7208374875373877
test06,hospital_4,76,0.5131578947368421,0.4868421052631579,0.42543991955756666,0.4254742547425474,0.5992225140405599,0.6410256410256411,0.5606375606375607,0.4,0.6517857142857143,0.23529411764705882,0.5852442671984048
test07,hospital_1,77,0.5065,0.4805,0.4412,0.4398,0.6433,0.5897,0.6242,0.381,0.7185,0.3529,0.5873
test07,hospital_2,77,0.5065,0.4416,0.3972,0.3971,0.5838,0.5641,0.6181,0.3333,0.5587,0.2941,0.5745
test07,hospital_3,76,0.5132,0.4737,0.3837,0.3726,0.6338,0.6923,0.6625,0.4,0.6348,0.0588,0.6042
test07,hospital_4,76,0.5132,0.4211,0.3967,0.3943,0.5785,0.4872,0.5184,0.35,0.6437,0.3529,0.5733
