experiment,name,kind,algorithm,n_clients,partition,seed,test_auc,test_acc,test_bal,test_macro_f1,test_macro_prec,n_test,baseline,source
test01,test01_centralized,centralized,-,1,-,19,0.6107,0.4142,0.4279,0.4038,0.4473,268,0.5112,seed_19/test01_centralized/results.json
test01,test01_centralized,centralized,-,1,-,42,0.6068,0.5299,0.4503,0.4523,0.4606,268,0.5112,seed_42/test01_centralized/results.json
test01,test01_centralized,centralized,-,1,-,50,0.6199,0.5336,0.4494,0.4528,0.4711,268,0.5112,seed_50/test01_centralized/results.json
test02,test02_fedavg_2h,federated,fedavg,2,2_clients_balanced,19,0.6287,0.4925,0.4285,0.4317,0.4426,268,0.5112,seed_19/test02_fedavg_2h/test_metrics.json
test02,test02_fedavg_2h,federated,fedavg,2,2_clients_balanced,42,0.5816,0.4328,0.3949,0.3931,0.3939,268,0.5112,seed_42/test02_fedavg_2h/test_metrics.json
test02,test02_fedavg_2h,federated,fedavg,2,2_clients_balanced,50,0.5899,0.4328,0.3949,0.3956,0.4023,268,0.5112,seed_50/test02_fedavg_2h/test_metrics.json
test03,test03_fedprox_2h,federated,fedprox,2,2_clients_balanced,19,0.5982,0.4776,0.4149,0.4169,0.4223,268,0.5112,seed_19/test03_fedprox_2h/test_metrics.json
test03,test03_fedprox_2h,federated,fedprox,2,2_clients_balanced,42,0.5917,0.4328,0.4025,0.4001,0.4028,268,0.5112,seed_42/test03_fedprox_2h/test_metrics.json
test03,test03_fedprox_2h,federated,fedprox,2,2_clients_balanced,50,0.5805,0.4627,0.4072,0.408,0.4117,268,0.5112,seed_50/test03_fedprox_2h/test_metrics.json
test04,test04_fedavg_3h,federated,fedavg,3,3_clients_balanced,19,0.5932,0.459,0.4063,0.4072,0.4086,268,0.5112,seed_19/test04_fedavg_3h/test_metrics.json
test04,test04_fedavg_3h,federated,fedavg,3,3_clients_balanced,42,0.599,0.4851,0.4198,0.4231,0.4333,268,0.5112,seed_42/test04_fedavg_3h/test_metrics.json
test04,test04_fedavg_3h,federated,fedavg,3,3_clients_balanced,50,0.5874,0.4179,0.3807,0.3742,0.3943,268,0.5112,seed_50/test04_fedavg_3h/test_metrics.json
test05,test05_fedprox_3h,federated,fedprox,3,3_clients_balanced,19,0.59,0.4664,0.4155,0.4165,0.4273,268,0.5112,seed_19/test05_fedprox_3h/test_metrics.json
test05,test05_fedprox_3h,federated,fedprox,3,3_clients_balanced,42,0.5958,0.459,0.4127,0.4116,0.4208,268,0.5112,seed_42/test05_fedprox_3h/test_metrics.json
test05,test05_fedprox_3h,federated,fedprox,3,3_clients_balanced,50,0.6024,0.4739,0.4206,0.4221,0.4466,268,0.5112,seed_50/test05_fedprox_3h/test_metrics.json
test06,test06_fedavg_4h,federated,fedavg,4,4_clients_balanced,19,0.5695,0.4664,0.3885,0.391,0.4038,268,0.5112,seed_19/test06_fedavg_4h/test_metrics.json
test06,test06_fedavg_4h,federated,fedavg,4,4_clients_balanced,42,0.6077,0.4925,0.4327,0.4338,0.4574,268,0.5112,seed_42/test06_fedavg_4h/test_metrics.json
test06,test06_fedavg_4h,federated,fedavg,4,4_clients_balanced,50,0.5706,0.4403,0.3886,0.3899,0.3921,268,0.5112,seed_50/test06_fedavg_4h/test_metrics.json
test07,test07_fedprox_4h,federated,fedprox,4,4_clients_balanced,19,0.5538,0.4328,0.3648,0.3706,0.3843,268,0.5112,seed_19/test07_fedprox_4h/test_metrics.json
test07,test07_fedprox_4h,federated,fedprox,4,4_clients_balanced,42,0.6075,0.4739,0.4393,0.4362,0.4389,268,0.5112,seed_42/test07_fedprox_4h/test_metrics.json
test07,test07_fedprox_4h,federated,fedprox,4,4_clients_balanced,50,0.599,0.4776,0.4223,0.4231,0.4241,268,0.5112,seed_50/test07_fedprox_4h/test_metrics.json
test08,test08_fedavg_skewed,federated,fedavg,4,4_clients_skewed,19,0.5635,0.4254,0.3792,0.3798,0.3855,268,0.5112,seed_19/test08_fedavg_skewed/test_metrics.json
test08,test08_fedavg_skewed,federated,fedavg,4,4_clients_skewed,42,0.5982,0.4888,0.4259,0.4292,0.4374,268,0.5112,seed_42/test08_fedavg_skewed/test_metrics.json
test08,test08_fedavg_skewed,federated,fedavg,4,4_clients_skewed,50,0.5665,0.444,0.3739,0.3777,0.3869,268,0.5112,seed_50/test08_fedavg_skewed/test_metrics.json
test09,test09_fedprox_skewed,federated,fedprox,4,4_clients_skewed,19,0.5693,0.459,0.384,0.3847,0.3972,268,0.5112,seed_19/test09_fedprox_skewed/test_metrics.json
test09,test09_fedprox_skewed,federated,fedprox,4,4_clients_skewed,42,0.6152,0.4776,0.4285,0.4301,0.4449,268,0.5112,seed_42/test09_fedprox_skewed/test_metrics.json
test09,test09_fedprox_skewed,federated,fedprox,4,4_clients_skewed,50,0.5955,0.4888,0.443,0.4451,0.4487,268,0.5112,seed_50/test09_fedprox_skewed/test_metrics.json
test10,test10_fedavg_cohort,federated,fedavg,3,3_clients_cohort,19,0.5649,0.4366,0.3818,0.3762,0.3759,268,0.5112,seed_19/test10_fedavg_cohort/test_metrics.json
test10,test10_fedavg_cohort,federated,fedavg,3,3_clients_cohort,42,0.5426,0.4291,0.3582,0.3536,0.3523,268,0.5112,seed_42/test10_fedavg_cohort/test_metrics.json
test10,test10_fedavg_cohort,federated,fedavg,3,3_clients_cohort,50,0.5546,0.4104,0.4063,0.3862,0.3913,268,0.5112,seed_50/test10_fedavg_cohort/test_metrics.json
test11,test11_fedprox_cohort,federated,fedprox,3,3_clients_cohort,19,0.5726,0.4515,0.3902,0.39,0.39,268,0.5112,seed_19/test11_fedprox_cohort/test_metrics.json
test11,test11_fedprox_cohort,federated,fedprox,3,3_clients_cohort,42,0.5928,0.4627,0.4179,0.415,0.4136,268,0.5112,seed_42/test11_fedprox_cohort/test_metrics.json
test11,test11_fedprox_cohort,federated,fedprox,3,3_clients_cohort,50,0.5582,0.4216,0.3518,0.3529,0.3562,268,0.5112,seed_50/test11_fedprox_cohort/test_metrics.json
test12,test12_fedavg_sizematched,federated,fedavg,3,3_clients_sizematched,19,0.6003,0.459,0.4065,0.4082,0.4122,268,0.5112,seed_19/test12_fedavg_sizematched/test_metrics.json
