experiment,algorithm,n_clients,partition,auc_seed19,auc_seed42,auc_seed50,auc_media,auc_sd
test02,fedavg,2,2_clients_balanced,0.6287,0.5816,0.5899,0.6001,0.0251
test03,fedprox,2,2_clients_balanced,0.5982,0.5917,0.5805,0.5901,0.009
test04,fedavg,3,3_clients_balanced,0.5932,0.599,0.5874,0.5932,0.0058
test05,fedprox,3,3_clients_balanced,0.59,0.5958,0.6024,0.5961,0.0062
test06,fedavg,4,4_clients_balanced,0.5695,0.6077,0.5706,0.5826,0.0217
test07,fedprox,4,4_clients_balanced,0.5538,0.6075,0.599,0.5868,0.0289
test08,fedavg,4,4_clients_skewed,0.5635,0.5982,0.5665,0.5761,0.0192
test09,fedprox,4,4_clients_skewed,0.5693,0.6152,0.5955,0.5933,0.023
test10,fedavg,3,3_clients_cohort,0.5649,0.5426,0.5546,0.554,0.0112
test11,fedprox,3,3_clients_cohort,0.5726,0.5928,0.5582,0.5745,0.0174
test12,fedavg,3,3_clients_sizematched,0.6003,0.5836,0.5862,0.59,0.009
test13,fedprox,3,3_clients_sizematched,0.5982,0.5882,0.6233,0.6032,0.0181
