partition,n_clients,seed,fedavg,fedprox,dif
2_clients_balanced,2,19,0.6288,0.5984,-0.0304
2_clients_balanced,2,42,0.5816,0.5917,0.0101
2_clients_balanced,2,50,0.5899,0.5805,-0.0094
3_clients_balanced,3,19,0.5931,0.5896,-0.0035
3_clients_balanced,3,42,0.599,0.5958,-0.0032
3_clients_balanced,3,50,0.5874,0.6024,0.015
3_clients_cohort,3,19,0.5649,0.5726,0.0077
3_clients_cohort,3,42,0.5426,0.5678,0.0252
3_clients_cohort,3,50,0.5546,0.5416,-0.013
3_clients_sizematched,3,19,0.6003,0.5982,-0.0021
3_clients_sizematched,3,42,0.5836,0.5882,0.0046
3_clients_sizematched,3,50,0.5862,0.6233,0.0371
4_clients_balanced,4,19,0.5693,0.5538,-0.0155
4_clients_balanced,4,42,0.6077,0.6075,-0.0002
4_clients_balanced,4,50,0.5706,0.599,0.0284
4_clients_skewed,4,19,0.5635,0.5693,0.0058
4_clients_skewed,4,42,0.5982,0.6152,0.017
4_clients_skewed,4,50,0.5665,0.5445,-0.022
