experiment,name,kind,algorithm,n_clients,partition,partition_dir,seed,test_auc,test_acc,test_bal,test_macro_f1,n_test,baseline
test01,test01_centralized/seed_19,centralized,-,1,-,-,19,0.6107,0.4142,0.4279,0.4038,268,0.5112
test01,test01_centralized/seed_42,centralized,-,1,-,-,42,0.6068,0.5299,0.4503,0.4523,268,0.5112
test01,test01_centralized/seed_50_run01,centralized,-,1,-,-,50,0.6199,0.5336,0.4494,0.4528,268,0.5112
test02,test02_fedavg_2h,federated,fedavg,2,2_clients_balanced,2_clients_balanced,42,0.5816,0.4328,0.3949,0.3931,268,0.5112
test02_s19,test02_fedavg_2h_s19,federated,fedavg,2,2_clients_balanced,2_clients_balanced_s19,19,0.6288,0.4925,0.4285,0.4317,268,0.5112
test02_s50,test02_fedavg_2h_s50,federated,fedavg,2,2_clients_balanced,2_clients_balanced_s50,50,0.5899,0.4328,0.3949,0.3956,268,0.5112
test03,test03_fedprox_2h,federated,fedprox,2,2_clients_balanced,2_clients_balanced,42,0.5917,0.4328,0.4025,0.4001,268,0.5112
test03_s19,test03_fedprox_2h_s19,federated,fedprox,2,2_clients_balanced,2_clients_balanced_s19,19,0.5984,0.4776,0.4149,0.4169,268,0.5112
test03_s50,test03_fedprox_2h_s50,federated,fedprox,2,2_clients_balanced,2_clients_balanced_s50,50,0.5805,0.4627,0.4072,0.408,268,0.5112
test04,test04_fedavg_3h,federated,fedavg,3,3_clients_balanced,3_clients_balanced,42,0.599,0.4851,0.4198,0.4231,268,0.5112
test04_s19,test04_fedavg_3h_s19,federated,fedavg,3,3_clients_balanced,3_clients_balanced_s19,19,0.5931,0.4552,0.402,0.4031,268,0.5112
test04_s50,test04_fedavg_3h_s50,federated,fedavg,3,3_clients_balanced,3_clients_balanced_s50,50,0.5874,0.4179,0.3807,0.3742,268,0.5112
test05,test05_fedprox_3h,federated,fedprox,3,3_clients_balanced,3_clients_balanced,42,0.5958,0.459,0.4127,0.4116,268,0.5112
test05_s19,test05_fedprox_3h_s19,federated,fedprox,3,3_clients_balanced,3_clients_balanced_s19,19,0.5896,0.4664,0.4155,0.4164,268,0.5112
test05_s50,test05_fedprox_3h_s50,federated,fedprox,3,3_clients_balanced,3_clients_balanced_s50,50,0.6024,0.4739,0.4206,0.4221,268,0.5112
test06,test06_fedavg_4h,federated,fedavg,4,4_clients_balanced,4_clients_balanced,42,0.6077,0.4925,0.4327,0.4338,268,0.5112
test06_s19,test06_fedavg_4h_s19,federated,fedavg,4,4_clients_balanced,4_clients_balanced_s19,19,0.5693,0.4701,0.3891,0.3911,268,0.5112
