partition_shape,site,split,images_seed19,images_seed42,images_seed50,patients_seed19,patients_seed42,patients_seed50,patients_HER2pos_seed19,patients_HER2pos_seed42,patients_HER2pos_seed50,patients_HRposHER2neg_seed19,patients_HRposHER2neg_seed42,patients_HRposHER2neg_seed50,patients_TripleNeg_seed19,patients_TripleNeg_seed42,patients_TripleNeg_seed50
2_clients_balanced,hospital_1,train,4854.0,4870.0,4862.0,612.0,612.0,612.0,138.0,138.0,138.0,310.0,310.0,310.0,164.0,164.0,164.0
2_clients_balanced,hospital_1,val,1207.0,1214.0,1204.0,152.0,152.0,152.0,34.0,34.0,34.0,77.0,77.0,77.0,41.0,41.0,41.0
2_clients_balanced,hospital_2,train,4863.0,4849.0,4853.0,611.0,611.0,611.0,138.0,138.0,138.0,309.0,309.0,309.0,164.0,164.0,164.0
2_clients_balanced,hospital_2,val,1207.0,1198.0,1212.0,152.0,152.0,152.0,34.0,34.0,34.0,77.0,77.0,77.0,41.0,41.0,41.0
3_clients_balanced,hospital_1,train,3237.0,3245.0,3243.0,408.0,408.0,408.0,92.0,92.0,92.0,206.0,206.0,206.0,110.0,110.0,110.0
3_clients_balanced,hospital_1,val,803.0,816.0,816.0,102.0,102.0,102.0,23.0,23.0,23.0,52.0,52.0,52.0,27.0,27.0,27.0
3_clients_balanced,hospital_2,train,3245.0,3249.0,3245.0,408.0,408.0,408.0,92.0,92.0,92.0,206.0,206.0,206.0,110.0,110.0,110.0
3_clients_balanced,hospital_2,val,816.0,814.0,805.0,102.0,102.0,102.0,23.0,23.0,23.0,52.0,52.0,52.0,27.0,27.0,27.0
3_clients_balanced,hospital_3,train,3228.0,3206.0,3217.0,406.0,406.0,406.0,91.0,91.0,91.0,206.0,206.0,206.0,109.0,109.0,109.0
3_clients_balanced,hospital_3,val,802.0,801.0,805.0,101.0,101.0,101.0,23.0,23.0,23.0,51.0,51.0,51.0,27.0,27.0,27.0
3_clients_cohort,hospital_1,train,4055.0,4067.0,4052.0,514.0,514.0,514.0,91.0,91.0,91.0,341.0,341.0,341.0,82.0,82.0,82.0
3_clients_cohort,hospital_1,val,1019.0,1007.0,1022.0,128.0,128.0,128.0,23.0,23.0,23.0,85.0,85.0,85.0,20.0,20.0,20.0
3_clients_cohort,hospital_2,train,652.0,652.0,652.0,82.0,82.0,82.0,26.0,26.0,26.0,34.0,34.0,34.0,22.0,22.0,22.0
3_clients_cohort,hospital_2,val,152.0,152.0,152.0,19.0,19.0,19.0,6.0,6.0,6.0,8.0,8.0,8.0,5.0,5.0,5.0
3_clients_cohort,hospital_3,train,5001.0,5005.0,5009.0,627.0,627.0,627.0,158.0,158.0,158.0,244.0,244.0,244.0,225.0,225.0,225.0
3_clients_cohort,hospital_3,val,1252.0,1248.0,1244.0,157.0,157.0,157.0,40.0,40.0,40.0,61.0,61.0,61.0,56.0,56.0,56.0
3_clients_sizematched,hospital_1,train,4079.0,4096.0,4089.0,514.0,514.0,514.0,116.0,116.0,116.0,260.0,260.0,260.0,138.0,138.0,138.0
3_clients_sizematched,hospital_1,val,1015.0,1020.0,1017.0,128.0,128.0,128.0,29.0,29.0,29.0,65.0,65.0,65.0,34.0,34.0,34.0
3_clients_sizematched,hospital_2,train,644.0,640.0,633.0,81.0,81.0,81.0,18.0,18.0,18.0,41.0,41.0,41.0,22.0,22.0,22.0
