experiment,name,algorithm,partition,site,status,detail,n_train_patients,n_train_images,n_val_patients,n_val_images,val_patients_HRposHER2neg,val_patients_TripleNeg,val_patients_HER2pos,trivial_baseline,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc,auc_HRposHER2neg,auc_TripleNeg,auc_HER2pos,precision_HRposHER2neg,precision_TripleNeg,precision_HER2pos,recall_HRposHER2neg,recall_TripleNeg,recall_HER2pos,f1_HRposHER2neg,f1_TripleNeg,f1_HER2pos,confusion
test02,test02_fedavg_2h,fedavg,2_clients_balanced,hospital_1,ok,,612,4870,152,1214,77,41,34,0.5066,0.5526,0.5294,0.5306,0.5294,0.5259,0.6572,0.6779,0.6955,0.5982,0.7015,0.5641,0.3261,0.6104,0.5366,0.4412,0.6528,0.55,0.375,"[[47, 8, 22], [10, 22, 9], [10, 9, 15]]"
test02,test02_fedavg_2h,fedavg,2_clients_balanced,hospital_2,ok,,611,4849,152,1198,77,41,34,0.5066,0.4342,0.4122,0.4103,0.4122,0.4078,0.5785,0.6149,0.5559,0.5648,0.6032,0.32,0.3077,0.4935,0.3902,0.3529,0.5429,0.3516,0.3288,"[[38, 22, 17], [15, 16, 10], [10, 12, 12]]"
test03,test03_fedprox_2h,fedprox,2_clients_balanced,hospital_1,ok,,612,4870,152,1214,77,41,34,0.5066,0.4868,0.4583,0.4577,0.4583,0.4545,0.6498,0.6644,0.695,0.59,0.6719,0.4222,0.2791,0.5584,0.4634,0.3529,0.6099,0.4419,0.3117,"[[43, 15, 19], [10, 19, 12], [11, 11, 12]]"
test03,test03_fedprox_2h,fedprox,2_clients_balanced,hospital_2,ok,,611,4849,152,1198,77,41,34,0.5066,0.4539,0.4126,0.4125,0.4126,0.4117,0.5746,0.6386,0.5489,0.5364,0.6143,0.3864,0.2368,0.5584,0.4146,0.2647,0.585,0.4,0.25,"[[43, 15, 19], [14, 17, 10], [13, 12, 9]]"
test04,test04_fedavg_3h,fedavg,3_clients_balanced,hospital_1,ok,,408,3245,102,816,52,27,23,0.5098,0.451,0.4108,0.4096,0.4108,0.41,0.6307,0.6204,0.6311,0.6406,0.58,0.3571,0.2917,0.5577,0.3704,0.3043,0.5686,0.3636,0.2979,"[[29, 12, 11], [11, 10, 6], [10, 6, 7]]"
test04,test04_fedavg_3h,fedavg,3_clients_balanced,hospital_2,ok,,408,3249,102,814,52,27,23,0.5098,0.451,0.4286,0.421,0.4286,0.4231,0.6381,0.6158,0.6558,0.6428,0.5652,0.4062,0.2917,0.5,0.4815,0.3043,0.5306,0.4407,0.2979,"[[26, 13, 13], [10, 13, 4], [10, 6, 7]]"
test04,test04_fedavg_3h,fedavg,3_clients_balanced,hospital_3,ok,,406,3206,101,801,51,27,23,0.505,0.5347,0.4762,0.4874,0.4762,0.4761,0.5986,0.6231,0.5886,0.5842,0.614,0.4483,0.4,0.6863,0.4815,0.2609,0.6481,0.4643,0.3158,"[[35, 9, 7], [12, 13, 2], [10, 7, 6]]"
test05,test05_fedprox_3h,fedprox,3_clients_balanced,hospital_1,ok,,408,3245,102,816,52,27,23,0.5098,0.4608,0.4377,0.4275,0.4377,0.4295,0.6529,0.6362,0.643,0.6797,0.5957,0.32,0.3667,0.5385,0.2963,0.4783,0.5657,0.3077,0.4151,"[[28, 12, 12], [12, 8, 7], [7, 5, 11]]"
test05,test05_fedprox_3h,fedprox,3_clients_balanced,hospital_2,ok,,408,3249,102,814,52,27,23,0.5098,0.451,0.4308,0.4378,0.4308,0.4296,0.6189,0.64,0.6459,0.5707,0.5909,0.48,0.2424,0.5,0.4444,0.3478,0.5417,0.4615,0.2857,"[[26, 9, 17], [7, 12, 8], [11, 4, 8]]"
test05,test05_fedprox_3h,fedprox,3_clients_balanced,hospital_3,ok,,406,3206,101,801,51,27,23,0.505,0.5149,0.4573,0.4616,0.4573,0.4575,0.6307,0.6471,0.6446,0.6003,0.6071,0.4444,0.3333,0.6667,0.4444,0.2609,0.6355,0.4444,0.2927,"[[34, 9, 8], [11, 12, 4], [11, 6, 6]]"
test06,test06_fedavg_4h,fedavg,4_clients_balanced,hospital_1,ok,,306,2439,77,614,39,21,17,0.5065,0.4805,0.4191,0.4253,0.4191,0.4208,0.6101,0.5972,0.6556,0.5775,0.5814,0.4444,0.25,0.641,0.381,0.2353,0.6098,0.4103,0.2424,"[[25, 5, 9], [10, 8, 3], [8, 5, 4]]"
test06,test06_fedavg_4h,fedavg,4_clients_balanced,hospital_2,ok,,305,2423,77,616,39,21,17,0.5065,0.4156,0.3433,0.3411,0.3433,0.3412,0.556,0.5493,0.5578,0.5608,0.5581,0.2778,0.1875,0.6154,0.2381,0.1765,0.5854,0.2564,0.1818,"[[24, 7, 8], [11, 5, 5], [8, 6, 3]]"
